[#1] Job #10,2497.0,[#1] Job #11,3088.0,[#1] Job #12,2914.0,[#1] Job #13,4028.0,[#1] Job #14,3819.0,[#1] Job #15,4354.0,[#1] Job #16,2770.0,[#1] Job #17,4107.0,[#1] Job #18,2893.0,[#1] Job #19,4434.0,[#1] Job #20,3575.0
[#2] Job #10,4277.0,[#2] Job #11,1866.0,[#2] Job #12,3120.0,[#2] Job #13,2680.0,[#2] Job #14,3149.0,[#2] Job #15,3904.0,[#2] Job #16,4408.0,[#2] Job #17,3837.0,[#2] Job #18,4017.0,[#2] Job #19,4675.0,[#2] Job #20,3521.0
[#3] Job #10,1813.0,[#3] Job #11,3640.0,[#3] Job #12,2114.0,[#3] Job #13,2526.0,[#3] Job #14,3648.0,[#3] Job #15,3359.0,[#3] Job #16,4200.0,[#3] Job #17,2872.0,[#3] Job #18,2725.0,[#3] Job #19,3024.0,[#3] Job #20,3041.0
[#4] Job #10,4017.0,[#4] Job #11,2239.0,[#4] Job #12,4223.0,[#4] Job #13,2534.0,[#4] Job #14,2784.0,[#4] Job #15,3052.0,[#4] Job #16,4519.0,[#4] Job #17,4385.0,[#4] Job #18,4623.0,[#4] Job #19,4056.0,[#4] Job #20,4264.0
[#5] Job #10,2750.0,[#5] Job #11,3701.0,[#5] Job #12,2941.0,[#5] Job #13,4214.0,[#5] Job #14,4548.0,[#5] Job #15,3185.0,[#5] Job #16,4411.0,[#5] Job #17,4333.0,[#5] Job #18,4575.0,[#5] Job #19,3333.0,[#5] Job #20,3792.0
[#6] Job #10,2870.0,[#6] Job #11,3379.0,[#6] Job #12,2728.0,[#6] Job #13,3784.0,[#6] Job #14,3131.0,[#6] Job #15,3250.0,[#6] Job #16,3029.0,[#6] Job #17,3459.0,[#6] Job #18,3684.0,[#6] Job #19,3122.0,[#6] Job #20,3659.0
[#7] Job #10,3023.0,[#7] Job #11,3666.0,[#7] Job #12,3983.0,[#7] Job #13,2934.0,[#7] Job #14,4661.0,[#7] Job #15,3164.0,[#7] Job #16,3529.0,[#7] Job #17,4145.0,[#7] Job #18,3608.0,[#7] Job #19,3964.0,[#7] Job #20,3800.0
[#8] Job #10,3919.0,[#8] Job #11,4350.0,[#8] Job #12,4295.0,[#8] Job #13,2612.0,[#8] Job #14,2303.0,[#8] Job #15,4442.0,[#8] Job #16,4038.0,[#8] Job #17,4498.0,[#8] Job #18,2737.0,[#8] Job #19,2983.0,[#8] Job #20,3243.0
[#9] Job #10,2372.0,[#9] Job #11,3485.0,[#9] Job #12,4228.0,[#9] Job #13,2611.0,[#9] Job #14,2981.0,[#9] Job #15,2825.0,[#9] Job #16,3765.0,[#9] Job #17,3221.0,[#9] Job #18,3926.0,[#9] Job #19,4086.0,[#9] Job #20,3567.0
[#10] Job #10,2295.0,[#10] Job #11,3393.0,[#10] Job #12,2703.0,[#10] Job #13,3700.0,[#10] Job #14,2144.0,[#10] Job #15,2299.0,[#10] Job #16,4065.0,[#10] Job #17,2762.0,[#10] Job #18,2542.0,[#10] Job #19,3664.0,[#10] Job #20,3920.0
[#11] Job #10,2585.0,[#11] Job #11,3669.0,[#11] Job #12,4238.0,[#11] Job #13,3694.0,[#11] Job #14,3426.0,[#11] Job #15,1826.0,[#11] Job #16,2191.0,[#11] Job #17,3858.0,[#11] Job #18,3955.0,[#11] Job #19,2709.0,[#11] Job #20,4149.0
[#12] Job #10,3415.0,[#12] Job #11,3829.0,[#12] Job #12,4474.0,[#12] Job #13,2014.0,[#12] Job #14,3462.0,[#12] Job #15,3860.0,[#12] Job #16,4118.0,[#12] Job #17,4301.0,[#12] Job #18,2548.0,[#12] Job #19,4626.0,[#12] Job #20,2732.0
[#13] Job #10,3656.0,[#13] Job #11,2025.0,[#13] Job #12,2834.0,[#13] Job #13,4493.0,[#13] Job #14,3062.0,[#13] Job #15,3036.0,[#13] Job #16,2618.0,[#13] Job #17,3154.0,[#13] Job #18,4331.0,[#13] Job #19,3558.0,[#13] Job #20,3201.0
[#14] Job #10,2959.0,[#14] Job #11,3620.0,[#14] Job #12,2370.0,[#14] Job #13,3754.0,[#14] Job #14,2944.0,[#14] Job #15,2691.0,[#14] Job #16,2676.0,[#14] Job #17,3288.0,[#14] Job #18,4644.0,[#14] Job #19,4011.0,[#14] Job #20,3726.0
[#15] Job #10,4320.0,[#15] Job #11,4095.0,[#15] Job #12,2341.0,[#15] Job #13,3402.0,[#15] Job #14,3147.0,[#15] Job #15,3743.0,[#15] Job #16,4343.0,[#15] Job #17,4173.0,[#15] Job #18,2992.0,[#15] Job #19,3584.0,[#15] Job #20,4574.0
[#16] Job #10,2606.0,[#16] Job #11,2595.0,[#16] Job #12,4384.0,[#16] Job #13,3389.0,[#16] Job #14,3860.0,[#16] Job #15,4204.0,[#16] Job #16,2865.0,[#16] Job #17,3897.0,[#16] Job #18,4164.0,[#16] Job #19,2659.0,[#16] Job #20,3035.0
[#17] Job #10,3404.0,[#17] Job #11,4170.0,[#17] Job #12,2368.0,[#17] Job #13,3015.0,[#17] Job #14,4208.0,[#17] Job #15,2020.0,[#17] Job #16,3905.0,[#17] Job #17,3655.0,[#17] Job #18,3765.0,[#17] Job #19,2408.0,[#17] Job #20,4408.0
[#18] Job #10,4175.0,[#18] Job #11,3119.0,[#18] Job #12,3302.0,[#18] Job #13,4256.0,[#18] Job #14,4664.0,[#18] Job #15,4406.0,[#18] Job #16,4703.0,[#18] Job #17,2866.0,[#18] Job #18,3950.0,[#18] Job #19,4847.0,[#18] Job #20,3757.0
[#19] Job #10,2215.0,[#19] Job #11,2618.0,[#19] Job #12,1947.0,[#19] Job #13,3703.0,[#19] Job #14,2554.0,[#19] Job #15,2814.0,[#19] Job #16,2770.0,[#19] Job #17,3790.0,[#19] Job #18,3997.0,[#19] Job #19,4250.0,[#19] Job #20,3409.0
[#20] Job #10,2491.0,[#20] Job #11,3751.0,[#20] Job #12,3414.0,[#20] Job #13,3219.0,[#20] Job #14,3456.0,[#20] Job #15,2893.0,[#20] Job #16,3138.0,[#20] Job #17,3779.0,[#20] Job #18,3457.0,[#20] Job #19,4284.0,[#20] Job #20,3935.0
[#21] Job #10,2314.0,[#21] Job #11,3162.0,[#21] Job #12,3816.0,[#21] Job #13,3099.0,[#21] Job #14,4151.0,[#21] Job #15,3303.0,[#21] Job #16,2291.0,[#21] Job #17,4417.0,[#21] Job #18,4121.0,[#21] Job #19,4414.0,[#21] Job #20,3682.0
[#22] Job #10,3170.0,[#22] Job #11,3307.0,[#22] Job #12,2979.0,[#22] Job #13,2830.0,[#22] Job #14,4413.0,[#22] Job #15,3707.0,[#22] Job #16,3385.0,[#22] Job #17,3734.0,[#22] Job #18,4086.0,[#22] Job #19,3756.0,[#22] Job #20,3891.0
[#23] Job #10,3520.0,[#23] Job #11,2198.0,[#23] Job #12,2805.0,[#23] Job #13,2321.0,[#23] Job #14,4169.0,[#23] Job #15,2392.0,[#23] Job #16,3175.0,[#23] Job #17,4437.0,[#23] Job #18,4702.0,[#23] Job #19,3702.0,[#23] Job #20,2659.0
[#24] Job #10,3440.0,[#24] Job #11,4867.0,[#24] Job #12,3980.0,[#24] Job #13,4278.0,[#24] Job #14,3750.0,[#24] Job #15,4236.0,[#24] Job #16,2900.0,[#24] Job #17,4564.0,[#24] Job #18,4458.0,[#24] Job #19,3811.0,[#24] Job #20,4319.0
[#25] Job #10,2386.0,[#25] Job #11,3452.0,[#25] Job #12,3314.0,[#25] Job #13,2640.0,[#25] Job #14,3722.0,[#25] Job #15,4153.0,[#25] Job #16,4086.0,[#25] Job #17,3135.0,[#25] Job #18,3916.0,[#25] Job #19,4347.0,[#25] Job #20,1873.0
[#26] Job #10,2377.0,[#26] Job #11,3062.0,[#26] Job #12,2710.0,[#26] Job #13,3820.0,[#26] Job #14,2556.0,[#26] Job #15,3838.0,[#26] Job #16,4047.0,[#26] Job #17,3246.0,[#26] Job #18,4267.0,[#26] Job #19,4393.0,[#26] Job #20,4064.0
[#27] Job #10,2403.0,[#27] Job #11,3745.0,[#27] Job #12,4098.0,[#27] Job #13,2729.0,[#27] Job #14,3896.0,[#27] Job #15,3231.0,[#27] Job #16,3892.0,[#27] Job #17,3383.0,[#27] Job #18,2656.0,[#27] Job #19,4568.0,[#27] Job #20,3397.0
[#28] Job #10,2415.0,[#28] Job #11,2648.0,[#28] Job #12,3722.0,[#28] Job #13,4215.0,[#28] Job #14,2386.0,[#28] Job #15,4025.0,[#28] Job #16,2163.0,[#28] Job #17,4308.0,[#28] Job #18,4447.0,[#28] Job #19,2459.0,[#28] Job #20,3072.0
[#29] Job #10,3974.0,[#29] Job #11,4714.0,[#29] Job #12,3463.0,[#29] Job #13,4081.0,[#29] Job #14,1956.0,[#29] Job #15,3831.0,[#29] Job #16,4431.0,[#29] Job #17,2784.0,[#29] Job #18,3358.0,[#29] Job #19,4274.0,[#29] Job #20,4517.0
[#30] Job #10,3221.0,[#30] Job #11,3021.0,[#30] Job #12,3991.0,[#30] Job #13,3344.0,[#30] Job #14,4174.0,[#30] Job #15,3090.0,[#30] Job #16,4394.0,[#30] Job #17,3969.0,[#30] Job #18,4739.0,[#30] Job #19,3562.0,[#30] Job #20,4085.0
