[#1] SimTime,73981.0
[#2] SimTime,78545.0
[#3] SimTime,77219.0
[#4] SimTime,77575.0
[#5] SimTime,74647.0
[#6] SimTime,76085.0
[#7] SimTime,76409.0
[#8] SimTime,75526.0
[#9] SimTime,77055.0
[#10] SimTime,76443.0
[#11] SimTime,78537.0
[#12] SimTime,74572.0
[#13] SimTime,78385.0
[#14] SimTime,72319.0
[#15] SimTime,72373.0
[#16] SimTime,77291.0
[#17] SimTime,76421.0
[#18] SimTime,77949.0
[#19] SimTime,72509.0
[#20] SimTime,73841.0
[#21] SimTime,75909.0
[#22] SimTime,75233.0
[#23] SimTime,72589.0
[#24] SimTime,77649.0
[#25] SimTime,74991.0
[#26] SimTime,76541.0
[#27] SimTime,79167.0
[#28] SimTime,75949.0
[#29] SimTime,73085.0
[#30] SimTime,76769.0
