[#1] #VEHICLE0000000000001,3041.0,[#1] #VEHICLE0000000000002,3411.0,[#1] #VEHICLE0000000000003,4469.0,[#1] #VEHICLE0000000000004,3263.0,[#1] #VEHICLE0000000000005,2317.0,[#1] #VEHICLE0000000000006,2820.0,[#1] #VEHICLE0000000000007,4187.0,[#1] #VEHICLE0000000000008,3455.0,[#1] #VEHICLE0000000000009,4584.0,[#1] #VEHICLE0000000000010,4601.0,[#1] #VEHICLE0000000000011,3218.0,[#1] #VEHICLE0000000000012,2500.0,[#1] #VEHICLE0000000000013,3553.0,[#1] #VEHICLE0000000000014,2159.0,[#1] #VEHICLE0000000000015,3186.0,[#1] #VEHICLE0000000000016,2735.0,[#1] #VEHICLE0000000000017,3769.0
[#2] #VEHICLE0000000000001,2789.0,[#2] #VEHICLE0000000000002,3492.0,[#2] #VEHICLE0000000000003,4651.0,[#2] #VEHICLE0000000000004,3564.0,[#2] #VEHICLE0000000000005,3393.0,[#2] #VEHICLE0000000000006,3172.0,[#2] #VEHICLE0000000000007,3503.0,[#2] #VEHICLE0000000000008,2891.0,[#2] #VEHICLE0000000000009,3784.0,[#2] #VEHICLE0000000000010,2925.0,[#2] #VEHICLE0000000000011,3398.0,[#2] #VEHICLE0000000000012,3636.0,[#2] #VEHICLE0000000000013,4350.0,[#2] #VEHICLE0000000000014,3231.0,[#2] #VEHICLE0000000000015,2640.0,[#2] #VEHICLE0000000000016,3195.0,[#2] #VEHICLE0000000000017,3398.0
[#3] #VEHICLE0000000000001,3645.0,[#3] #VEHICLE0000000000002,3923.0,[#3] #VEHICLE0000000000003,3865.0,[#3] #VEHICLE0000000000004,4049.0,[#3] #VEHICLE0000000000005,3882.0,[#3] #VEHICLE0000000000006,3481.0,[#3] #VEHICLE0000000000007,4707.0,[#3] #VEHICLE0000000000008,4868.0,[#3] #VEHICLE0000000000009,3546.0,[#3] #VEHICLE0000000000010,3645.0,[#3] #VEHICLE0000000000011,3738.0,[#3] #VEHICLE0000000000012,3738.0,[#3] #VEHICLE0000000000013,4322.0,[#3] #VEHICLE0000000000014,3734.0,[#3] #VEHICLE0000000000015,3863.0,[#3] #VEHICLE0000000000016,3976.0,[#3] #VEHICLE0000000000017,2956.0
[#4] #VEHICLE0000000000001,1671.0,[#4] #VEHICLE0000000000002,4264.0,[#4] #VEHICLE0000000000003,2649.0,[#4] #VEHICLE0000000000004,3814.0,[#4] #VEHICLE0000000000005,3826.0,[#4] #VEHICLE0000000000006,3288.0,[#4] #VEHICLE0000000000007,2961.0,[#4] #VEHICLE0000000000008,3529.0,[#4] #VEHICLE0000000000009,3980.0,[#4] #VEHICLE0000000000010,3710.0,[#4] #VEHICLE0000000000011,2837.0,[#4] #VEHICLE0000000000012,2502.0,[#4] #VEHICLE0000000000013,4499.0,[#4] #VEHICLE0000000000014,2533.0,[#4] #VEHICLE0000000000015,3225.0,[#4] #VEHICLE0000000000016,3942.0,[#4] #VEHICLE0000000000017,2493.0
[#5] #VEHICLE0000000000001,3027.0,[#5] #VEHICLE0000000000002,4740.0,[#5] #VEHICLE0000000000003,2994.0,[#5] #VEHICLE0000000000004,4545.0,[#5] #VEHICLE0000000000005,2796.0,[#5] #VEHICLE0000000000006,3855.0,[#5] #VEHICLE0000000000007,3704.0,[#5] #VEHICLE0000000000008,3779.0,[#5] #VEHICLE0000000000009,3920.0,[#5] #VEHICLE0000000000010,3753.0,[#5] #VEHICLE0000000000011,3372.0,[#5] #VEHICLE0000000000012,3781.0,[#5] #VEHICLE0000000000013,3991.0,[#5] #VEHICLE0000000000014,2875.0,[#5] #VEHICLE0000000000015,2869.0,[#5] #VEHICLE0000000000016,4045.0,[#5] #VEHICLE0000000000017,3597.0
[#6] #VEHICLE0000000000001,3262.0,[#6] #VEHICLE0000000000002,3356.0,[#6] #VEHICLE0000000000003,3177.0,[#6] #VEHICLE0000000000004,4046.0,[#6] #VEHICLE0000000000005,3623.0,[#6] #VEHICLE0000000000006,3569.0,[#6] #VEHICLE0000000000007,3926.0,[#6] #VEHICLE0000000000008,2874.0,[#6] #VEHICLE0000000000009,3203.0,[#6] #VEHICLE0000000000010,3783.0,[#6] #VEHICLE0000000000011,3175.0,[#6] #VEHICLE0000000000012,3968.0,[#6] #VEHICLE0000000000013,3076.0,[#6] #VEHICLE0000000000014,3245.0,[#6] #VEHICLE0000000000015,3792.0,[#6] #VEHICLE0000000000016,3788.0,[#6] #VEHICLE0000000000017,3542.0
[#7] #VEHICLE0000000000001,4292.0,[#7] #VEHICLE0000000000002,4619.0,[#7] #VEHICLE0000000000003,3722.0,[#7] #VEHICLE0000000000004,3272.0,[#7] #VEHICLE0000000000005,3254.0,[#7] #VEHICLE0000000000006,3786.0,[#7] #VEHICLE0000000000007,3724.0,[#7] #VEHICLE0000000000008,2391.0,[#7] #VEHICLE0000000000009,3504.0,[#7] #VEHICLE0000000000010,4768.0,[#7] #VEHICLE0000000000011,3575.0,[#7] #VEHICLE0000000000012,2741.0,[#7] #VEHICLE0000000000013,3823.0,[#7] #VEHICLE0000000000014,4431.0,[#7] #VEHICLE0000000000015,3247.0,[#7] #VEHICLE0000000000016,4375.0,[#7] #VEHICLE0000000000017,2808.0
[#8] #VEHICLE0000000000001,3246.0,[#8] #VEHICLE0000000000002,3716.0,[#8] #VEHICLE0000000000003,2887.0,[#8] #VEHICLE0000000000004,3531.0,[#8] #VEHICLE0000000000005,4827.0,[#8] #VEHICLE0000000000006,3468.0,[#8] #VEHICLE0000000000007,4742.0,[#8] #VEHICLE0000000000008,3253.0,[#8] #VEHICLE0000000000009,3401.0,[#8] #VEHICLE0000000000010,3950.0,[#8] #VEHICLE0000000000011,3194.0,[#8] #VEHICLE0000000000012,3374.0,[#8] #VEHICLE0000000000013,3587.0,[#8] #VEHICLE0000000000014,4315.0,[#8] #VEHICLE0000000000015,4157.0,[#8] #VEHICLE0000000000016,3761.0,[#8] #VEHICLE0000000000017,2398.0
[#9] #VEHICLE0000000000001,3914.0,[#9] #VEHICLE0000000000002,4743.0,[#9] #VEHICLE0000000000003,3109.0,[#9] #VEHICLE0000000000004,2674.0,[#9] #VEHICLE0000000000005,4145.0,[#9] #VEHICLE0000000000006,2502.0,[#9] #VEHICLE0000000000007,3801.0,[#9] #VEHICLE0000000000008,4314.0,[#9] #VEHICLE0000000000009,3768.0,[#9] #VEHICLE0000000000010,3773.0,[#9] #VEHICLE0000000000011,3538.0,[#9] #VEHICLE0000000000012,4380.0,[#9] #VEHICLE0000000000013,4228.0,[#9] #VEHICLE0000000000014,2042.0,[#9] #VEHICLE0000000000015,3632.0,[#9] #VEHICLE0000000000016,4222.0,[#9] #VEHICLE0000000000017,3907.0
[#10] #VEHICLE0000000000001,4186.0,[#10] #VEHICLE0000000000002,4230.0,[#10] #VEHICLE0000000000003,4593.0,[#10] #VEHICLE0000000000004,3399.0,[#10] #VEHICLE0000000000005,2723.0,[#10] #VEHICLE0000000000006,2252.0,[#10] #VEHICLE0000000000007,3833.0,[#10] #VEHICLE0000000000008,3544.0,[#10] #VEHICLE0000000000009,4142.0,[#10] #VEHICLE0000000000010,4021.0,[#10] #VEHICLE0000000000011,2807.0,[#10] #VEHICLE0000000000012,3136.0,[#10] #VEHICLE0000000000013,3721.0,[#10] #VEHICLE0000000000014,2992.0,[#10] #VEHICLE0000000000015,3219.0,[#10] #VEHICLE0000000000016,3748.0,[#10] #VEHICLE0000000000017,2748.0
[#11] #VEHICLE0000000000001,3563.0,[#11] #VEHICLE0000000000002,3192.0,[#11] #VEHICLE0000000000003,3247.0,[#11] #VEHICLE0000000000004,3505.0,[#11] #VEHICLE0000000000005,3194.0,[#11] #VEHICLE0000000000006,2232.0,[#11] #VEHICLE0000000000007,4323.0,[#11] #VEHICLE0000000000008,3983.0,[#11] #VEHICLE0000000000009,4583.0,[#11] #VEHICLE0000000000010,3898.0,[#11] #VEHICLE0000000000011,3634.0,[#11] #VEHICLE0000000000012,4189.0,[#11] #VEHICLE0000000000013,2983.0,[#11] #VEHICLE0000000000014,3530.0,[#11] #VEHICLE0000000000015,3226.0,[#11] #VEHICLE0000000000016,4469.0,[#11] #VEHICLE0000000000017,4091.0
[#12] #VEHICLE0000000000001,4341.0,[#12] #VEHICLE0000000000002,4122.0,[#12] #VEHICLE0000000000003,3822.0,[#12] #VEHICLE0000000000004,4387.0,[#12] #VEHICLE0000000000005,3630.0,[#12] #VEHICLE0000000000006,3383.0,[#12] #VEHICLE0000000000007,4737.0,[#12] #VEHICLE0000000000008,3683.0,[#12] #VEHICLE0000000000009,4999.0,[#12] #VEHICLE0000000000010,4290.0,[#12] #VEHICLE0000000000011,3912.0,[#12] #VEHICLE0000000000012,3496.0,[#12] #VEHICLE0000000000013,3721.0,[#12] #VEHICLE0000000000014,4403.0,[#12] #VEHICLE0000000000015,4749.0,[#12] #VEHICLE0000000000016,4646.0,[#12] #VEHICLE0000000000017,4518.0
