[#1] #VEHICLE0000000000001,9486.0,[#1] #VEHICLE0000000000002,9205.0,[#1] #VEHICLE0000000000003,9371.0,[#1] #VEHICLE0000000000004,9531.0,[#1] #VEHICLE0000000000005,9326.0,[#1] #VEHICLE0000000000006,9533.0,[#1] #VEHICLE0000000000007,9554.0,[#1] #VEHICLE0000000000008,9398.0
[#2] #VEHICLE0000000000001,9799.0,[#2] #VEHICLE0000000000002,9828.0,[#2] #VEHICLE0000000000003,9825.0,[#2] #VEHICLE0000000000004,10210.0,[#2] #VEHICLE0000000000005,10231.0,[#2] #VEHICLE0000000000006,10328.0,[#2] #VEHICLE0000000000007,10342.0,[#2] #VEHICLE0000000000008,9663.0
[#3] #VEHICLE0000000000001,9644.0,[#3] #VEHICLE0000000000002,9572.0,[#3] #VEHICLE0000000000003,9049.0,[#3] #VEHICLE0000000000004,8962.0,[#3] #VEHICLE0000000000005,9208.0,[#3] #VEHICLE0000000000006,9717.0,[#3] #VEHICLE0000000000007,9763.0,[#3] #VEHICLE0000000000008,9282.0
[#4] #VEHICLE0000000000001,10483.0,[#4] #VEHICLE0000000000002,10671.0,[#4] #VEHICLE0000000000003,10113.0,[#4] #VEHICLE0000000000004,10586.0,[#4] #VEHICLE0000000000005,10349.0,[#4] #VEHICLE0000000000006,9926.0,[#4] #VEHICLE0000000000007,10344.0,[#4] #VEHICLE0000000000008,10524.0
[#5] #VEHICLE0000000000001,10274.0,[#5] #VEHICLE0000000000002,9516.0,[#5] #VEHICLE0000000000003,9876.0,[#5] #VEHICLE0000000000004,9782.0,[#5] #VEHICLE0000000000005,9378.0,[#5] #VEHICLE0000000000006,10103.0,[#5] #VEHICLE0000000000007,10368.0,[#5] #VEHICLE0000000000008,10396.0
[#6] #VEHICLE0000000000001,9793.0,[#6] #VEHICLE0000000000002,9902.0,[#6] #VEHICLE0000000000003,9818.0,[#6] #VEHICLE0000000000004,9492.0,[#6] #VEHICLE0000000000005,9562.0,[#6] #VEHICLE0000000000006,9282.0,[#6] #VEHICLE0000000000007,9775.0,[#6] #VEHICLE0000000000008,9870.0
[#7] #VEHICLE0000000000001,9390.0,[#7] #VEHICLE0000000000002,9730.0,[#7] #VEHICLE0000000000003,9647.0,[#7] #VEHICLE0000000000004,9325.0,[#7] #VEHICLE0000000000005,9236.0,[#7] #VEHICLE0000000000006,9577.0,[#7] #VEHICLE0000000000007,9573.0,[#7] #VEHICLE0000000000008,9394.0
[#8] #VEHICLE0000000000001,10215.0,[#8] #VEHICLE0000000000002,10110.0,[#8] #VEHICLE0000000000003,9824.0,[#8] #VEHICLE0000000000004,10358.0,[#8] #VEHICLE0000000000005,10285.0,[#8] #VEHICLE0000000000006,10025.0,[#8] #VEHICLE0000000000007,9830.0,[#8] #VEHICLE0000000000008,10017.0
[#9] #VEHICLE0000000000001,8261.0,[#9] #VEHICLE0000000000002,8564.0,[#9] #VEHICLE0000000000003,8557.0,[#9] #VEHICLE0000000000004,8305.0,[#9] #VEHICLE0000000000005,8892.0,[#9] #VEHICLE0000000000006,8778.0,[#9] #VEHICLE0000000000007,8913.0,[#9] #VEHICLE0000000000008,8874.0
[#10] #VEHICLE0000000000001,9629.0,[#10] #VEHICLE0000000000002,9460.0,[#10] #VEHICLE0000000000003,9603.0,[#10] #VEHICLE0000000000004,10182.0,[#10] #VEHICLE0000000000005,10152.0,[#10] #VEHICLE0000000000006,9940.0,[#10] #VEHICLE0000000000007,9690.0,[#10] #VEHICLE0000000000008,9591.0
[#11] #VEHICLE0000000000001,10374.0,[#11] #VEHICLE0000000000002,10054.0,[#11] #VEHICLE0000000000003,9783.0,[#11] #VEHICLE0000000000004,10367.0,[#11] #VEHICLE0000000000005,10375.0,[#11] #VEHICLE0000000000006,9638.0,[#11] #VEHICLE0000000000007,10295.0,[#11] #VEHICLE0000000000008,10375.0
[#12] #VEHICLE0000000000001,9896.0,[#12] #VEHICLE0000000000002,10006.0,[#12] #VEHICLE0000000000003,9087.0,[#12] #VEHICLE0000000000004,9806.0,[#12] #VEHICLE0000000000005,9293.0,[#12] #VEHICLE0000000000006,9823.0,[#12] #VEHICLE0000000000007,9350.0,[#12] #VEHICLE0000000000008,9363.0
[#13] #VEHICLE0000000000001,9681.0,[#13] #VEHICLE0000000000002,9869.0,[#13] #VEHICLE0000000000003,9752.0,[#13] #VEHICLE0000000000004,9641.0,[#13] #VEHICLE0000000000005,9787.0,[#13] #VEHICLE0000000000006,9555.0,[#13] #VEHICLE0000000000007,9128.0,[#13] #VEHICLE0000000000008,9632.0
[#14] #VEHICLE0000000000001,9437.0,[#14] #VEHICLE0000000000002,9630.0,[#14] #VEHICLE0000000000003,10265.0,[#14] #VEHICLE0000000000004,10280.0,[#14] #VEHICLE0000000000005,9974.0,[#14] #VEHICLE0000000000006,10162.0,[#14] #VEHICLE0000000000007,10454.0,[#14] #VEHICLE0000000000008,9913.0
