[#11] #VEHICLE0000000000001,2297.0,[#11] #VEHICLE0000000000002,2838.0,[#11] #VEHICLE0000000000003,1377.0,[#11] #VEHICLE0000000000004,667.0,[#11] #VEHICLE0000000000005,2747.0,[#11] #VEHICLE0000000000006,3002.0,[#11] #VEHICLE0000000000007,3016.0,[#11] #VEHICLE0000000000008,1137.0,[#11] #VEHICLE0000000000009,2766.0,[#11] #VEHICLE0000000000010,2190.0,[#11] #VEHICLE0000000000011,2581.0,[#11] #VEHICLE0000000000012,2349.0,[#11] #VEHICLE0000000000013,2503.0,[#11] #VEHICLE0000000000014,3182.0,[#11] #VEHICLE0000000000015,2936.0,[#11] #VEHICLE0000000000016,2026.0,[#11] #VEHICLE0000000000017,2390.0,[#11] #VEHICLE0000000000018,2152.0,[#11] #VEHICLE0000000000019,112.0,[#11] #VEHICLE0000000000020,1765.0,[#11] #VEHICLE0000000000021,2110.0,[#11] #VEHICLE0000000000022,1723.0,[#11] #VEHICLE0000000000023,2154.0,[#11] #VEHICLE0000000000024,1329.0,[#11] #VEHICLE0000000000025,1061.0
[#12] #VEHICLE0000000000001,2371.0,[#12] #VEHICLE0000000000002,2324.0,[#12] #VEHICLE0000000000003,2462.0,[#12] #VEHICLE0000000000004,1980.0,[#12] #VEHICLE0000000000005,2154.0,[#12] #VEHICLE0000000000006,2220.0,[#12] #VEHICLE0000000000007,1304.0,[#12] #VEHICLE0000000000008,2589.0,[#12] #VEHICLE0000000000009,2468.0,[#12] #VEHICLE0000000000010,2814.0,[#12] #VEHICLE0000000000011,2890.0,[#12] #VEHICLE0000000000012,2774.0,[#12] #VEHICLE0000000000013,2366.0,[#12] #VEHICLE0000000000014,39.0,[#12] #VEHICLE0000000000015,2318.0,[#12] #VEHICLE0000000000016,1847.0,[#12] #VEHICLE0000000000017,1628.0,[#12] #VEHICLE0000000000018,2464.0,[#12] #VEHICLE0000000000019,1925.0,[#12] #VEHICLE0000000000020,1597.0,[#12] #VEHICLE0000000000021,1936.0,[#12] #VEHICLE0000000000022,2002.0,[#12] #VEHICLE0000000000023,2166.0,[#12] #VEHICLE0000000000024,2055.0,[#12] #VEHICLE0000000000025,1320.0
[#13] #VEHICLE0000000000001,3181.0,[#13] #VEHICLE0000000000002,2457.0,[#13] #VEHICLE0000000000003,2813.0,[#13] #VEHICLE0000000000004,2803.0,[#13] #VEHICLE0000000000005,3014.0,[#13] #VEHICLE0000000000006,1988.0,[#13] #VEHICLE0000000000007,2680.0,[#13] #VEHICLE0000000000008,2585.0,[#13] #VEHICLE0000000000009,3125.0,[#13] #VEHICLE0000000000010,2801.0,[#13] #VEHICLE0000000000011,2422.0,[#13] #VEHICLE0000000000012,1686.0,[#13] #VEHICLE0000000000013,1941.0,[#13] #VEHICLE0000000000014,804.0,[#13] #VEHICLE0000000000015,2877.0,[#13] #VEHICLE0000000000016,2300.0,[#13] #VEHICLE0000000000017,2369.0,[#13] #VEHICLE0000000000018,2807.0,[#13] #VEHICLE0000000000019,156.0,[#13] #VEHICLE0000000000020,1010.0,[#13] #VEHICLE0000000000021,99.0,[#13] #VEHICLE0000000000022,1834.0,[#13] #VEHICLE0000000000023,1864.0,[#13] #VEHICLE0000000000024,1273.0,[#13] #VEHICLE0000000000025,1175.0
[#14] #VEHICLE0000000000001,1043.0,[#14] #VEHICLE0000000000002,2733.0,[#14] #VEHICLE0000000000003,807.0,[#14] #VEHICLE0000000000004,3020.0,[#14] #VEHICLE0000000000005,2557.0,[#14] #VEHICLE0000000000006,2004.0,[#14] #VEHICLE0000000000007,2173.0,[#14] #VEHICLE0000000000008,3031.0,[#14] #VEHICLE0000000000009,2530.0,[#14] #VEHICLE0000000000010,1598.0,[#14] #VEHICLE0000000000011,2983.0,[#14] #VEHICLE0000000000012,2537.0,[#14] #VEHICLE0000000000013,2673.0,[#14] #VEHICLE0000000000014,2429.0,[#14] #VEHICLE0000000000015,1639.0,[#14] #VEHICLE0000000000016,1830.0,[#14] #VEHICLE0000000000017,2615.0,[#14] #VEHICLE0000000000018,2184.0,[#14] #VEHICLE0000000000019,1638.0,[#14] #VEHICLE0000000000020,1755.0,[#14] #VEHICLE0000000000021,1090.0,[#14] #VEHICLE0000000000022,742.0,[#14] #VEHICLE0000000000023,2850.0,[#14] #VEHICLE0000000000024,3469.0,[#14] #VEHICLE0000000000025,1536.0
[#15] #VEHICLE0000000000001,2413.0,[#15] #VEHICLE0000000000002,2602.0,[#15] #VEHICLE0000000000003,2789.0,[#15] #VEHICLE0000000000004,519.0,[#15] #VEHICLE0000000000005,3188.0,[#15] #VEHICLE0000000000006,2870.0,[#15] #VEHICLE0000000000007,3100.0,[#15] #VEHICLE0000000000008,2665.0,[#15] #VEHICLE0000000000009,2449.0,[#15] #VEHICLE0000000000010,2837.0,[#15] #VEHICLE0000000000011,2064.0,[#15] #VEHICLE0000000000012,2710.0,[#15] #VEHICLE0000000000013,2905.0,[#15] #VEHICLE0000000000014,2009.0,[#15] #VEHICLE0000000000015,2346.0,[#15] #VEHICLE0000000000016,2246.0,[#15] #VEHICLE0000000000017,2666.0,[#15] #VEHICLE0000000000018,2212.0,[#15] #VEHICLE0000000000019,156.0,[#15] #VEHICLE0000000000020,846.0,[#15] #VEHICLE0000000000021,97.0,[#15] #VEHICLE0000000000022,2186.0,[#15] #VEHICLE0000000000023,1108.0,[#15] #VEHICLE0000000000024,1377.0,[#15] #VEHICLE0000000000025,1471.0
[#16] #VEHICLE0000000000001,2941.0,[#16] #VEHICLE0000000000002,2430.0,[#16] #VEHICLE0000000000003,2434.0,[#16] #VEHICLE0000000000004,2856.0,[#16] #VEHICLE0000000000005,2531.0,[#16] #VEHICLE0000000000006,2346.0,[#16] #VEHICLE0000000000007,2350.0,[#16] #VEHICLE0000000000008,2525.0,[#16] #VEHICLE0000000000009,2456.0,[#16] #VEHICLE0000000000010,2627.0,[#16] #VEHICLE0000000000011,2166.0,[#16] #VEHICLE0000000000012,2832.0,[#16] #VEHICLE0000000000013,2466.0,[#16] #VEHICLE0000000000014,2169.0,[#16] #VEHICLE0000000000015,2484.0,[#16] #VEHICLE0000000000016,2950.0,[#16] #VEHICLE0000000000017,2784.0,[#16] #VEHICLE0000000000018,2676.0,[#16] #VEHICLE0000000000019,156.0,[#16] #VEHICLE0000000000020,53.0,[#16] #VEHICLE0000000000021,44.0,[#16] #VEHICLE0000000000022,1760.0,[#16] #VEHICLE0000000000023,622.0,[#16] #VEHICLE0000000000024,1377.0,[#16] #VEHICLE0000000000025,620.0
[#17] #VEHICLE0000000000001,1159.0,[#17] #VEHICLE0000000000002,2364.0,[#17] #VEHICLE0000000000003,2479.0,[#17] #VEHICLE0000000000004,2069.0,[#17] #VEHICLE0000000000005,2168.0,[#17] #VEHICLE0000000000006,2273.0,[#17] #VEHICLE0000000000007,1250.0,[#17] #VEHICLE0000000000008,1215.0,[#17] #VEHICLE0000000000009,2877.0,[#17] #VEHICLE0000000000010,2396.0,[#17] #VEHICLE0000000000011,2354.0,[#17] #VEHICLE0000000000012,2038.0,[#17] #VEHICLE0000000000013,2402.0,[#17] #VEHICLE0000000000014,2025.0,[#17] #VEHICLE0000000000015,2564.0,[#17] #VEHICLE0000000000016,2258.0,[#17] #VEHICLE0000000000017,1166.0,[#17] #VEHICLE0000000000018,1950.0,[#17] #VEHICLE0000000000019,1076.0,[#17] #VEHICLE0000000000020,1491.0,[#17] #VEHICLE0000000000021,2192.0,[#17] #VEHICLE0000000000022,1846.0,[#17] #VEHICLE0000000000023,2236.0,[#17] #VEHICLE0000000000024,1564.0,[#17] #VEHICLE0000000000025,1428.0
[#18] #VEHICLE0000000000001,2703.0,[#18] #VEHICLE0000000000002,3080.0,[#18] #VEHICLE0000000000003,1235.0,[#18] #VEHICLE0000000000004,1027.0,[#18] #VEHICLE0000000000005,3045.0,[#18] #VEHICLE0000000000006,2416.0,[#18] #VEHICLE0000000000007,2842.0,[#18] #VEHICLE0000000000008,2083.0,[#18] #VEHICLE0000000000009,2544.0,[#18] #VEHICLE0000000000010,2348.0,[#18] #VEHICLE0000000000011,2259.0,[#18] #VEHICLE0000000000012,962.0,[#18] #VEHICLE0000000000013,2879.0,[#18] #VEHICLE0000000000014,2039.0,[#18] #VEHICLE0000000000015,2177.0,[#18] #VEHICLE0000000000016,2502.0,[#18] #VEHICLE0000000000017,2470.0,[#18] #VEHICLE0000000000018,2830.0,[#18] #VEHICLE0000000000019,1528.0,[#18] #VEHICLE0000000000020,1671.0,[#18] #VEHICLE0000000000021,1502.0,[#18] #VEHICLE0000000000022,1380.0,[#18] #VEHICLE0000000000023,2191.0,[#18] #VEHICLE0000000000024,1487.0,[#18] #VEHICLE0000000000025,1471.0
[#19] #VEHICLE0000000000001,2511.0,[#19] #VEHICLE0000000000002,2410.0,[#19] #VEHICLE0000000000003,2833.0,[#19] #VEHICLE0000000000004,2349.0,[#19] #VEHICLE0000000000005,2467.0,[#19] #VEHICLE0000000000006,2442.0,[#19] #VEHICLE0000000000007,1582.0,[#19] #VEHICLE0000000000008,811.0,[#19] #VEHICLE0000000000009,2602.0,[#19] #VEHICLE0000000000010,2787.0,[#19] #VEHICLE0000000000011,2068.0,[#19] #VEHICLE0000000000012,2309.0,[#19] #VEHICLE0000000000013,2688.0,[#19] #VEHICLE0000000000014,2247.0,[#19] #VEHICLE0000000000015,1855.0,[#19] #VEHICLE0000000000016,1976.0,[#19] #VEHICLE0000000000017,2252.0,[#19] #VEHICLE0000000000018,2199.0,[#19] #VEHICLE0000000000019,1053.0,[#19] #VEHICLE0000000000020,53.0,[#19] #VEHICLE0000000000021,2066.0,[#19] #VEHICLE0000000000022,1834.0,[#19] #VEHICLE0000000000023,1526.0,[#19] #VEHICLE0000000000024,1095.0,[#19] #VEHICLE0000000000025,1610.0
[#20] #VEHICLE0000000000001,2341.0,[#20] #VEHICLE0000000000002,2746.0,[#20] #VEHICLE0000000000003,1759.0,[#20] #VEHICLE0000000000004,2778.0,[#20] #VEHICLE0000000000005,2229.0,[#20] #VEHICLE0000000000006,2352.0,[#20] #VEHICLE0000000000007,2372.0,[#20] #VEHICLE0000000000008,3275.0,[#20] #VEHICLE0000000000009,2982.0,[#20] #VEHICLE0000000000010,2627.0,[#20] #VEHICLE0000000000011,2326.0,[#20] #VEHICLE0000000000012,2742.0,[#20] #VEHICLE0000000000013,2082.0,[#20] #VEHICLE0000000000014,39.0,[#20] #VEHICLE0000000000015,2106.0,[#20] #VEHICLE0000000000016,2574.0,[#20] #VEHICLE0000000000017,2758.0,[#20] #VEHICLE0000000000018,2833.0,[#20] #VEHICLE0000000000019,156.0,[#20] #VEHICLE0000000000020,53.0,[#20] #VEHICLE0000000000021,2340.0,[#20] #VEHICLE0000000000022,1874.0,[#20] #VEHICLE0000000000023,1930.0,[#20] #VEHICLE0000000000024,1273.0,[#20] #VEHICLE0000000000025,1355.0
