[#1] #VEHICLE0000000000001,6505.0,[#1] #VEHICLE0000000000002,5440.0,[#1] #VEHICLE0000000000003,6079.0,[#1] #VEHICLE0000000000004,5627.0,[#1] #VEHICLE0000000000005,5994.0,[#1] #VEHICLE0000000000006,5447.0,[#1] #VEHICLE0000000000007,6300.0,[#1] #VEHICLE0000000000008,5457.0,[#1] #VEHICLE0000000000009,6272.0,[#1] #VEHICLE0000000000010,4963.0,[#1] #VEHICLE0000000000011,5463.0,[#1] #VEHICLE0000000000012,5874.0,[#1] #VEHICLE0000000000013,6144.0
[#2] #VEHICLE0000000000001,5129.0,[#2] #VEHICLE0000000000002,5642.0,[#2] #VEHICLE0000000000003,5687.0,[#2] #VEHICLE0000000000004,5151.0,[#2] #VEHICLE0000000000005,5028.0,[#2] #VEHICLE0000000000006,5351.0,[#2] #VEHICLE0000000000007,5806.0,[#2] #VEHICLE0000000000008,5240.0,[#2] #VEHICLE0000000000009,5534.0,[#2] #VEHICLE0000000000010,6297.0,[#2] #VEHICLE0000000000011,5235.0,[#2] #VEHICLE0000000000012,4798.0,[#2] #VEHICLE0000000000013,5220.0
[#3] #VEHICLE0000000000001,5598.0,[#3] #VEHICLE0000000000002,4414.0,[#3] #VEHICLE0000000000003,4724.0,[#3] #VEHICLE0000000000004,5213.0,[#3] #VEHICLE0000000000005,4986.0,[#3] #VEHICLE0000000000006,4627.0,[#3] #VEHICLE0000000000007,4968.0,[#3] #VEHICLE0000000000008,5508.0,[#3] #VEHICLE0000000000009,4649.0,[#3] #VEHICLE0000000000010,4991.0,[#3] #VEHICLE0000000000011,4916.0,[#3] #VEHICLE0000000000012,4633.0,[#3] #VEHICLE0000000000013,5455.0
[#4] #VEHICLE0000000000001,5085.0,[#4] #VEHICLE0000000000002,5390.0,[#4] #VEHICLE0000000000003,6319.0,[#4] #VEHICLE0000000000004,5739.0,[#4] #VEHICLE0000000000005,5206.0,[#4] #VEHICLE0000000000006,5002.0,[#4] #VEHICLE0000000000007,5916.0,[#4] #VEHICLE0000000000008,6090.0,[#4] #VEHICLE0000000000009,6157.0,[#4] #VEHICLE0000000000010,5478.0,[#4] #VEHICLE0000000000011,5788.0,[#4] #VEHICLE0000000000012,5625.0,[#4] #VEHICLE0000000000013,5864.0
[#5] #VEHICLE0000000000001,5231.0,[#5] #VEHICLE0000000000002,6155.0,[#5] #VEHICLE0000000000003,5806.0,[#5] #VEHICLE0000000000004,5055.0,[#5] #VEHICLE0000000000005,6055.0,[#5] #VEHICLE0000000000006,5246.0,[#5] #VEHICLE0000000000007,5620.0,[#5] #VEHICLE0000000000008,6502.0,[#5] #VEHICLE0000000000009,5749.0,[#5] #VEHICLE0000000000010,5484.0,[#5] #VEHICLE0000000000011,4638.0,[#5] #VEHICLE0000000000012,5712.0,[#5] #VEHICLE0000000000013,6323.0
[#6] #VEHICLE0000000000001,5499.0,[#6] #VEHICLE0000000000002,6469.0,[#6] #VEHICLE0000000000003,6086.0,[#6] #VEHICLE0000000000004,5795.0,[#6] #VEHICLE0000000000005,5722.0,[#6] #VEHICLE0000000000006,5290.0,[#6] #VEHICLE0000000000007,5670.0,[#6] #VEHICLE0000000000008,6021.0,[#6] #VEHICLE0000000000009,6458.0,[#6] #VEHICLE0000000000010,5839.0,[#6] #VEHICLE0000000000011,5097.0,[#6] #VEHICLE0000000000012,5950.0,[#6] #VEHICLE0000000000013,6302.0
[#7] #VEHICLE0000000000001,5424.0,[#7] #VEHICLE0000000000002,6531.0,[#7] #VEHICLE0000000000003,5117.0,[#7] #VEHICLE0000000000004,5826.0,[#7] #VEHICLE0000000000005,4724.0,[#7] #VEHICLE0000000000006,5752.0,[#7] #VEHICLE0000000000007,5810.0,[#7] #VEHICLE0000000000008,6527.0,[#7] #VEHICLE0000000000009,4868.0,[#7] #VEHICLE0000000000010,5727.0,[#7] #VEHICLE0000000000011,4774.0,[#7] #VEHICLE0000000000012,6303.0,[#7] #VEHICLE0000000000013,5574.0
[#8] #VEHICLE0000000000001,5609.0,[#8] #VEHICLE0000000000002,6535.0,[#8] #VEHICLE0000000000003,5705.0,[#8] #VEHICLE0000000000004,6359.0,[#8] #VEHICLE0000000000005,5455.0,[#8] #VEHICLE0000000000006,5965.0,[#8] #VEHICLE0000000000007,5547.0,[#8] #VEHICLE0000000000008,5836.0,[#8] #VEHICLE0000000000009,5986.0,[#8] #VEHICLE0000000000010,4684.0,[#8] #VEHICLE0000000000011,5542.0,[#8] #VEHICLE0000000000012,6205.0,[#8] #VEHICLE0000000000013,6273.0
[#9] #VEHICLE0000000000001,5988.0,[#9] #VEHICLE0000000000002,6126.0,[#9] #VEHICLE0000000000003,5676.0,[#9] #VEHICLE0000000000004,5427.0,[#9] #VEHICLE0000000000005,6139.0,[#9] #VEHICLE0000000000006,4796.0,[#9] #VEHICLE0000000000007,5941.0,[#9] #VEHICLE0000000000008,6144.0,[#9] #VEHICLE0000000000009,5790.0,[#9] #VEHICLE0000000000010,5821.0,[#9] #VEHICLE0000000000011,4568.0,[#9] #VEHICLE0000000000012,4783.0,[#9] #VEHICLE0000000000013,5486.0
[#10] #VEHICLE0000000000001,5416.0,[#10] #VEHICLE0000000000002,5572.0,[#10] #VEHICLE0000000000003,5067.0,[#10] #VEHICLE0000000000004,5574.0,[#10] #VEHICLE0000000000005,6160.0,[#10] #VEHICLE0000000000006,5447.0,[#10] #VEHICLE0000000000007,5376.0,[#10] #VEHICLE0000000000008,5752.0,[#10] #VEHICLE0000000000009,5286.0,[#10] #VEHICLE0000000000010,5200.0,[#10] #VEHICLE0000000000011,4687.0,[#10] #VEHICLE0000000000012,5816.0,[#10] #VEHICLE0000000000013,5795.0
