[#1] #VEHICLE0000000000001,2500.0,[#1] #VEHICLE0000000000002,3211.0,[#1] #VEHICLE0000000000003,3156.0,[#1] #VEHICLE0000000000004,3574.0,[#1] #VEHICLE0000000000005,3715.0,[#1] #VEHICLE0000000000006,3479.0,[#1] #VEHICLE0000000000007,4126.0,[#1] #VEHICLE0000000000008,3034.0,[#1] #VEHICLE0000000000009,3510.0,[#1] #VEHICLE0000000000010,3334.0,[#1] #VEHICLE0000000000011,2468.0,[#1] #VEHICLE0000000000012,3293.0,[#1] #VEHICLE0000000000013,2484.0,[#1] #VEHICLE0000000000014,2711.0,[#1] #VEHICLE0000000000015,3895.0,[#1] #VEHICLE0000000000016,3226.0,[#1] #VEHICLE0000000000017,3649.0,[#1] #VEHICLE0000000000018,3376.0,[#1] #VEHICLE0000000000019,2686.0
[#2] #VEHICLE0000000000001,3126.0,[#2] #VEHICLE0000000000002,3561.0,[#2] #VEHICLE0000000000003,4061.0,[#2] #VEHICLE0000000000004,3088.0,[#2] #VEHICLE0000000000005,2794.0,[#2] #VEHICLE0000000000006,2639.0,[#2] #VEHICLE0000000000007,4138.0,[#2] #VEHICLE0000000000008,3875.0,[#2] #VEHICLE0000000000009,4026.0,[#2] #VEHICLE0000000000010,3481.0,[#2] #VEHICLE0000000000011,2735.0,[#2] #VEHICLE0000000000012,3218.0,[#2] #VEHICLE0000000000013,3488.0,[#2] #VEHICLE0000000000014,2495.0,[#2] #VEHICLE0000000000015,3391.0,[#2] #VEHICLE0000000000016,2816.0,[#2] #VEHICLE0000000000017,3884.0,[#2] #VEHICLE0000000000018,2516.0,[#2] #VEHICLE0000000000019,2388.0
[#3] #VEHICLE0000000000001,3117.0,[#3] #VEHICLE0000000000002,2447.0,[#3] #VEHICLE0000000000003,2806.0,[#3] #VEHICLE0000000000004,2361.0,[#3] #VEHICLE0000000000005,4050.0,[#3] #VEHICLE0000000000006,2586.0,[#3] #VEHICLE0000000000007,2224.0,[#3] #VEHICLE0000000000008,3125.0,[#3] #VEHICLE0000000000009,2198.0,[#3] #VEHICLE0000000000010,3244.0,[#3] #VEHICLE0000000000011,2880.0,[#3] #VEHICLE0000000000012,3144.0,[#3] #VEHICLE0000000000013,3045.0,[#3] #VEHICLE0000000000014,2322.0,[#3] #VEHICLE0000000000015,2530.0,[#3] #VEHICLE0000000000016,2470.0,[#3] #VEHICLE0000000000017,2248.0,[#3] #VEHICLE0000000000018,2218.0,[#3] #VEHICLE0000000000019,1712.0
[#4] #VEHICLE0000000000001,3592.0,[#4] #VEHICLE0000000000002,4340.0,[#4] #VEHICLE0000000000003,2895.0,[#4] #VEHICLE0000000000004,2967.0,[#4] #VEHICLE0000000000005,3327.0,[#4] #VEHICLE0000000000006,3099.0,[#4] #VEHICLE0000000000007,4173.0,[#4] #VEHICLE0000000000008,3630.0,[#4] #VEHICLE0000000000009,2751.0,[#4] #VEHICLE0000000000010,3838.0,[#4] #VEHICLE0000000000011,2362.0,[#4] #VEHICLE0000000000012,2427.0,[#4] #VEHICLE0000000000013,4429.0,[#4] #VEHICLE0000000000014,3154.0,[#4] #VEHICLE0000000000015,2614.0,[#4] #VEHICLE0000000000016,2978.0,[#4] #VEHICLE0000000000017,2731.0,[#4] #VEHICLE0000000000018,2214.0,[#4] #VEHICLE0000000000019,2394.0
[#5] #VEHICLE0000000000001,2930.0,[#5] #VEHICLE0000000000002,3642.0,[#5] #VEHICLE0000000000003,4108.0,[#5] #VEHICLE0000000000004,3132.0,[#5] #VEHICLE0000000000005,2926.0,[#5] #VEHICLE0000000000006,2378.0,[#5] #VEHICLE0000000000007,4449.0,[#5] #VEHICLE0000000000008,3269.0,[#5] #VEHICLE0000000000009,2596.0,[#5] #VEHICLE0000000000010,1724.0,[#5] #VEHICLE0000000000011,2442.0,[#5] #VEHICLE0000000000012,2608.0,[#5] #VEHICLE0000000000013,3211.0,[#5] #VEHICLE0000000000014,2881.0,[#5] #VEHICLE0000000000015,3006.0,[#5] #VEHICLE0000000000016,4077.0,[#5] #VEHICLE0000000000017,3096.0,[#5] #VEHICLE0000000000018,2324.0,[#5] #VEHICLE0000000000019,2696.0
[#6] #VEHICLE0000000000001,2852.0,[#6] #VEHICLE0000000000002,2882.0,[#6] #VEHICLE0000000000003,2109.0,[#6] #VEHICLE0000000000004,4011.0,[#6] #VEHICLE0000000000005,2344.0,[#6] #VEHICLE0000000000006,2897.0,[#6] #VEHICLE0000000000007,3284.0,[#6] #VEHICLE0000000000008,2933.0,[#6] #VEHICLE0000000000009,2620.0,[#6] #VEHICLE0000000000010,2827.0,[#6] #VEHICLE0000000000011,3109.0,[#6] #VEHICLE0000000000012,2615.0,[#6] #VEHICLE0000000000013,2846.0,[#6] #VEHICLE0000000000014,2615.0,[#6] #VEHICLE0000000000015,2053.0,[#6] #VEHICLE0000000000016,3507.0,[#6] #VEHICLE0000000000017,2472.0,[#6] #VEHICLE0000000000018,2337.0,[#6] #VEHICLE0000000000019,2434.0
[#7] #VEHICLE0000000000001,2675.0,[#7] #VEHICLE0000000000002,4203.0,[#7] #VEHICLE0000000000003,3163.0,[#7] #VEHICLE0000000000004,2965.0,[#7] #VEHICLE0000000000005,3075.0,[#7] #VEHICLE0000000000006,3461.0,[#7] #VEHICLE0000000000007,3522.0,[#7] #VEHICLE0000000000008,2445.0,[#7] #VEHICLE0000000000009,3680.0,[#7] #VEHICLE0000000000010,3041.0,[#7] #VEHICLE0000000000011,2314.0,[#7] #VEHICLE0000000000012,3936.0,[#7] #VEHICLE0000000000013,3078.0,[#7] #VEHICLE0000000000014,2344.0,[#7] #VEHICLE0000000000015,2564.0,[#7] #VEHICLE0000000000016,3451.0,[#7] #VEHICLE0000000000017,2936.0,[#7] #VEHICLE0000000000018,2703.0,[#7] #VEHICLE0000000000019,1618.0
[#8] #VEHICLE0000000000001,3137.0,[#8] #VEHICLE0000000000002,3945.0,[#8] #VEHICLE0000000000003,3419.0,[#8] #VEHICLE0000000000004,4236.0,[#8] #VEHICLE0000000000005,2754.0,[#8] #VEHICLE0000000000006,2216.0,[#8] #VEHICLE0000000000007,3321.0,[#8] #VEHICLE0000000000008,2980.0,[#8] #VEHICLE0000000000009,3249.0,[#8] #VEHICLE0000000000010,3067.0,[#8] #VEHICLE0000000000011,3039.0,[#8] #VEHICLE0000000000012,2572.0,[#8] #VEHICLE0000000000013,2800.0,[#8] #VEHICLE0000000000014,2324.0,[#8] #VEHICLE0000000000015,3140.0,[#8] #VEHICLE0000000000016,3002.0,[#8] #VEHICLE0000000000017,3254.0,[#8] #VEHICLE0000000000018,2698.0,[#8] #VEHICLE0000000000019,1690.0
[#9] #VEHICLE0000000000001,2639.0,[#9] #VEHICLE0000000000002,4145.0,[#9] #VEHICLE0000000000003,3012.0,[#9] #VEHICLE0000000000004,2525.0,[#9] #VEHICLE0000000000005,3181.0,[#9] #VEHICLE0000000000006,2392.0,[#9] #VEHICLE0000000000007,1672.0,[#9] #VEHICLE0000000000008,2689.0,[#9] #VEHICLE0000000000009,2843.0,[#9] #VEHICLE0000000000010,2829.0,[#9] #VEHICLE0000000000011,1772.0,[#9] #VEHICLE0000000000012,2411.0,[#9] #VEHICLE0000000000013,3858.0,[#9] #VEHICLE0000000000014,2607.0,[#9] #VEHICLE0000000000015,3357.0,[#9] #VEHICLE0000000000016,3536.0,[#9] #VEHICLE0000000000017,2603.0,[#9] #VEHICLE0000000000018,3137.0,[#9] #VEHICLE0000000000019,1714.0
[#10] #VEHICLE0000000000001,2201.0,[#10] #VEHICLE0000000000002,3454.0,[#10] #VEHICLE0000000000003,4040.0,[#10] #VEHICLE0000000000004,3108.0,[#10] #VEHICLE0000000000005,2815.0,[#10] #VEHICLE0000000000006,2239.0,[#10] #VEHICLE0000000000007,3674.0,[#10] #VEHICLE0000000000008,3248.0,[#10] #VEHICLE0000000000009,2678.0,[#10] #VEHICLE0000000000010,2822.0,[#10] #VEHICLE0000000000011,2841.0,[#10] #VEHICLE0000000000012,3130.0,[#10] #VEHICLE0000000000013,3906.0,[#10] #VEHICLE0000000000014,1560.0,[#10] #VEHICLE0000000000015,2519.0,[#10] #VEHICLE0000000000016,2406.0,[#10] #VEHICLE0000000000017,2565.0,[#10] #VEHICLE0000000000018,2107.0,[#10] #VEHICLE0000000000019,1641.0
