[#1] #VEHICLE0000000000001,7142.0,[#1] #VEHICLE0000000000002,7871.0,[#1] #VEHICLE0000000000003,7839.0,[#1] #VEHICLE0000000000004,7501.0,[#1] #VEHICLE0000000000005,6853.0,[#1] #VEHICLE0000000000006,8069.0,[#1] #VEHICLE0000000000007,7439.0,[#1] #VEHICLE0000000000008,6995.0,[#1] #VEHICLE0000000000009,7036.0,[#1] #VEHICLE0000000000010,7691.0
[#2] #VEHICLE0000000000001,7563.0,[#2] #VEHICLE0000000000002,7098.0,[#2] #VEHICLE0000000000003,7319.0,[#2] #VEHICLE0000000000004,8084.0,[#2] #VEHICLE0000000000005,7361.0,[#2] #VEHICLE0000000000006,7016.0,[#2] #VEHICLE0000000000007,8101.0,[#2] #VEHICLE0000000000008,8025.0,[#2] #VEHICLE0000000000009,7749.0,[#2] #VEHICLE0000000000010,7625.0
[#3] #VEHICLE0000000000001,6816.0,[#3] #VEHICLE0000000000002,7118.0,[#3] #VEHICLE0000000000003,7774.0,[#3] #VEHICLE0000000000004,8032.0,[#3] #VEHICLE0000000000005,7154.0,[#3] #VEHICLE0000000000006,7625.0,[#3] #VEHICLE0000000000007,7158.0,[#3] #VEHICLE0000000000008,7622.0,[#3] #VEHICLE0000000000009,7142.0,[#3] #VEHICLE0000000000010,7616.0
[#4] #VEHICLE0000000000001,8211.0,[#4] #VEHICLE0000000000002,8392.0,[#4] #VEHICLE0000000000003,7245.0,[#4] #VEHICLE0000000000004,8007.0,[#4] #VEHICLE0000000000005,8078.0,[#4] #VEHICLE0000000000006,7357.0,[#4] #VEHICLE0000000000007,8018.0,[#4] #VEHICLE0000000000008,7729.0,[#4] #VEHICLE0000000000009,8403.0,[#4] #VEHICLE0000000000010,8528.0
[#5] #VEHICLE0000000000001,7589.0,[#5] #VEHICLE0000000000002,8200.0,[#5] #VEHICLE0000000000003,7619.0,[#5] #VEHICLE0000000000004,7813.0,[#5] #VEHICLE0000000000005,6844.0,[#5] #VEHICLE0000000000006,7848.0,[#5] #VEHICLE0000000000007,7966.0,[#5] #VEHICLE0000000000008,8092.0,[#5] #VEHICLE0000000000009,7495.0,[#5] #VEHICLE0000000000010,7409.0
[#6] #VEHICLE0000000000001,8188.0,[#6] #VEHICLE0000000000002,7828.0,[#6] #VEHICLE0000000000003,7465.0,[#6] #VEHICLE0000000000004,7521.0,[#6] #VEHICLE0000000000005,7616.0,[#6] #VEHICLE0000000000006,8180.0,[#6] #VEHICLE0000000000007,8039.0,[#6] #VEHICLE0000000000008,8233.0,[#6] #VEHICLE0000000000009,8039.0,[#6] #VEHICLE0000000000010,7752.0
[#7] #VEHICLE0000000000001,7438.0,[#7] #VEHICLE0000000000002,7208.0,[#7] #VEHICLE0000000000003,8110.0,[#7] #VEHICLE0000000000004,7539.0,[#7] #VEHICLE0000000000005,7397.0,[#7] #VEHICLE0000000000006,8009.0,[#7] #VEHICLE0000000000007,7706.0,[#7] #VEHICLE0000000000008,8108.0,[#7] #VEHICLE0000000000009,8118.0,[#7] #VEHICLE0000000000010,7893.0
[#8] #VEHICLE0000000000001,8616.0,[#8] #VEHICLE0000000000002,7696.0,[#8] #VEHICLE0000000000003,8261.0,[#8] #VEHICLE0000000000004,8588.0,[#8] #VEHICLE0000000000005,8468.0,[#8] #VEHICLE0000000000006,8274.0,[#8] #VEHICLE0000000000007,7904.0,[#8] #VEHICLE0000000000008,8315.0,[#8] #VEHICLE0000000000009,7985.0,[#8] #VEHICLE0000000000010,7543.0
[#9] #VEHICLE0000000000001,7608.0,[#9] #VEHICLE0000000000002,8307.0,[#9] #VEHICLE0000000000003,8186.0,[#9] #VEHICLE0000000000004,7641.0,[#9] #VEHICLE0000000000005,6982.0,[#9] #VEHICLE0000000000006,7356.0,[#9] #VEHICLE0000000000007,8060.0,[#9] #VEHICLE0000000000008,7874.0,[#9] #VEHICLE0000000000009,7590.0,[#9] #VEHICLE0000000000010,7532.0
[#10] #VEHICLE0000000000001,7197.0,[#10] #VEHICLE0000000000002,8262.0,[#10] #VEHICLE0000000000003,8293.0,[#10] #VEHICLE0000000000004,7666.0,[#10] #VEHICLE0000000000005,7825.0,[#10] #VEHICLE0000000000006,8101.0,[#10] #VEHICLE0000000000007,8291.0,[#10] #VEHICLE0000000000008,7725.0,[#10] #VEHICLE0000000000009,8096.0,[#10] #VEHICLE0000000000010,7650.0
[#11] #VEHICLE0000000000001,7775.0,[#11] #VEHICLE0000000000002,7483.0,[#11] #VEHICLE0000000000003,7870.0,[#11] #VEHICLE0000000000004,8070.0,[#11] #VEHICLE0000000000005,7377.0,[#11] #VEHICLE0000000000006,8100.0,[#11] #VEHICLE0000000000007,7375.0,[#11] #VEHICLE0000000000008,7897.0,[#11] #VEHICLE0000000000009,7647.0,[#11] #VEHICLE0000000000010,7198.0
[#12] #VEHICLE0000000000001,7784.0,[#12] #VEHICLE0000000000002,7969.0,[#12] #VEHICLE0000000000003,8277.0,[#12] #VEHICLE0000000000004,6799.0,[#12] #VEHICLE0000000000005,7015.0,[#12] #VEHICLE0000000000006,6905.0,[#12] #VEHICLE0000000000007,7710.0,[#12] #VEHICLE0000000000008,7289.0,[#12] #VEHICLE0000000000009,6615.0,[#12] #VEHICLE0000000000010,8038.0
