[#1] #VEHICLE0000000000001,6118.0,[#1] #VEHICLE0000000000002,6006.0,[#1] #VEHICLE0000000000003,7014.0,[#1] #VEHICLE0000000000004,5743.0,[#1] #VEHICLE0000000000005,6642.0,[#1] #VEHICLE0000000000006,6456.0,[#1] #VEHICLE0000000000007,7090.0,[#1] #VEHICLE0000000000008,7016.0,[#1] #VEHICLE0000000000009,6271.0,[#1] #VEHICLE0000000000010,6807.0,[#1] #VEHICLE0000000000011,6399.0,[#1] #VEHICLE0000000000012,6296.0
[#2] #VEHICLE0000000000001,6863.0,[#2] #VEHICLE0000000000002,6412.0,[#2] #VEHICLE0000000000003,5954.0,[#2] #VEHICLE0000000000004,6653.0,[#2] #VEHICLE0000000000005,6031.0,[#2] #VEHICLE0000000000006,6596.0,[#2] #VEHICLE0000000000007,6183.0,[#2] #VEHICLE0000000000008,6498.0,[#2] #VEHICLE0000000000009,6653.0,[#2] #VEHICLE0000000000010,6066.0,[#2] #VEHICLE0000000000011,5677.0,[#2] #VEHICLE0000000000012,5674.0
[#3] #VEHICLE0000000000001,6467.0,[#3] #VEHICLE0000000000002,5767.0,[#3] #VEHICLE0000000000003,6059.0,[#3] #VEHICLE0000000000004,5436.0,[#3] #VEHICLE0000000000005,5969.0,[#3] #VEHICLE0000000000006,6341.0,[#3] #VEHICLE0000000000007,6483.0,[#3] #VEHICLE0000000000008,5863.0,[#3] #VEHICLE0000000000009,6107.0,[#3] #VEHICLE0000000000010,6274.0,[#3] #VEHICLE0000000000011,5121.0,[#3] #VEHICLE0000000000012,6694.0
[#4] #VEHICLE0000000000001,6353.0,[#4] #VEHICLE0000000000002,5705.0,[#4] #VEHICLE0000000000003,6291.0,[#4] #VEHICLE0000000000004,6397.0,[#4] #VEHICLE0000000000005,6033.0,[#4] #VEHICLE0000000000006,5754.0,[#4] #VEHICLE0000000000007,6150.0,[#4] #VEHICLE0000000000008,6573.0,[#4] #VEHICLE0000000000009,6465.0,[#4] #VEHICLE0000000000010,6825.0,[#4] #VEHICLE0000000000011,5295.0,[#4] #VEHICLE0000000000012,6473.0
[#5] #VEHICLE0000000000001,6811.0,[#5] #VEHICLE0000000000002,6977.0,[#5] #VEHICLE0000000000003,6596.0,[#5] #VEHICLE0000000000004,6892.0,[#5] #VEHICLE0000000000005,6838.0,[#5] #VEHICLE0000000000006,6559.0,[#5] #VEHICLE0000000000007,6953.0,[#5] #VEHICLE0000000000008,7074.0,[#5] #VEHICLE0000000000009,6698.0,[#5] #VEHICLE0000000000010,7032.0,[#5] #VEHICLE0000000000011,6683.0,[#5] #VEHICLE0000000000012,5854.0
[#6] #VEHICLE0000000000001,6877.0,[#6] #VEHICLE0000000000002,6411.0,[#6] #VEHICLE0000000000003,5790.0,[#6] #VEHICLE0000000000004,6280.0,[#6] #VEHICLE0000000000005,4846.0,[#6] #VEHICLE0000000000006,6679.0,[#6] #VEHICLE0000000000007,5776.0,[#6] #VEHICLE0000000000008,6376.0,[#6] #VEHICLE0000000000009,6065.0,[#6] #VEHICLE0000000000010,6624.0,[#6] #VEHICLE0000000000011,5208.0,[#6] #VEHICLE0000000000012,5987.0
[#7] #VEHICLE0000000000001,5748.0,[#7] #VEHICLE0000000000002,6127.0,[#7] #VEHICLE0000000000003,6029.0,[#7] #VEHICLE0000000000004,6680.0,[#7] #VEHICLE0000000000005,5390.0,[#7] #VEHICLE0000000000006,5770.0,[#7] #VEHICLE0000000000007,6557.0,[#7] #VEHICLE0000000000008,5591.0,[#7] #VEHICLE0000000000009,6347.0,[#7] #VEHICLE0000000000010,6289.0,[#7] #VEHICLE0000000000011,4720.0,[#7] #VEHICLE0000000000012,5809.0
[#8] #VEHICLE0000000000001,6045.0,[#8] #VEHICLE0000000000002,6470.0,[#8] #VEHICLE0000000000003,6210.0,[#8] #VEHICLE0000000000004,6392.0,[#8] #VEHICLE0000000000005,6042.0,[#8] #VEHICLE0000000000006,6595.0,[#8] #VEHICLE0000000000007,5676.0,[#8] #VEHICLE0000000000008,6152.0,[#8] #VEHICLE0000000000009,5887.0,[#8] #VEHICLE0000000000010,5214.0,[#8] #VEHICLE0000000000011,5799.0,[#8] #VEHICLE0000000000012,6718.0
[#9] #VEHICLE0000000000001,5081.0,[#9] #VEHICLE0000000000002,6075.0,[#9] #VEHICLE0000000000003,5881.0,[#9] #VEHICLE0000000000004,5867.0,[#9] #VEHICLE0000000000005,5544.0,[#9] #VEHICLE0000000000006,5192.0,[#9] #VEHICLE0000000000007,6259.0,[#9] #VEHICLE0000000000008,6135.0,[#9] #VEHICLE0000000000009,6593.0,[#9] #VEHICLE0000000000010,5903.0,[#9] #VEHICLE0000000000011,4959.0,[#9] #VEHICLE0000000000012,5839.0
[#10] #VEHICLE0000000000001,5675.0,[#10] #VEHICLE0000000000002,6090.0,[#10] #VEHICLE0000000000003,5755.0,[#10] #VEHICLE0000000000004,6751.0,[#10] #VEHICLE0000000000005,6664.0,[#10] #VEHICLE0000000000006,6777.0,[#10] #VEHICLE0000000000007,6258.0,[#10] #VEHICLE0000000000008,6424.0,[#10] #VEHICLE0000000000009,6729.0,[#10] #VEHICLE0000000000010,6902.0,[#10] #VEHICLE0000000000011,5601.0,[#10] #VEHICLE0000000000012,6280.0
[#11] #VEHICLE0000000000001,5669.0,[#11] #VEHICLE0000000000002,5182.0,[#11] #VEHICLE0000000000003,5088.0,[#11] #VEHICLE0000000000004,6307.0,[#11] #VEHICLE0000000000005,5103.0,[#11] #VEHICLE0000000000006,6059.0,[#11] #VEHICLE0000000000007,6265.0,[#11] #VEHICLE0000000000008,6050.0,[#11] #VEHICLE0000000000009,4860.0,[#11] #VEHICLE0000000000010,5284.0,[#11] #VEHICLE0000000000011,5271.0,[#11] #VEHICLE0000000000012,6047.0
