[#1] #VEHICLE0000000000001,4550.0,[#1] #VEHICLE0000000000002,4808.0,[#1] #VEHICLE0000000000003,4219.0,[#1] #VEHICLE0000000000004,3119.0,[#1] #VEHICLE0000000000005,4055.0,[#1] #VEHICLE0000000000006,3309.0,[#1] #VEHICLE0000000000007,4301.0,[#1] #VEHICLE0000000000008,4571.0,[#1] #VEHICLE0000000000009,3885.0,[#1] #VEHICLE0000000000010,3854.0,[#1] #VEHICLE0000000000011,3838.0,[#1] #VEHICLE0000000000012,3819.0,[#1] #VEHICLE0000000000013,4211.0,[#1] #VEHICLE0000000000014,2701.0,[#1] #VEHICLE0000000000015,4384.0,[#1] #VEHICLE0000000000016,4836.0
[#2] #VEHICLE0000000000001,1949.0,[#2] #VEHICLE0000000000002,4130.0,[#2] #VEHICLE0000000000003,4913.0,[#2] #VEHICLE0000000000004,4575.0,[#2] #VEHICLE0000000000005,2802.0,[#2] #VEHICLE0000000000006,3436.0,[#2] #VEHICLE0000000000007,4883.0,[#2] #VEHICLE0000000000008,3500.0,[#2] #VEHICLE0000000000009,3579.0,[#2] #VEHICLE0000000000010,5271.0,[#2] #VEHICLE0000000000011,4246.0,[#2] #VEHICLE0000000000012,3302.0,[#2] #VEHICLE0000000000013,4676.0,[#2] #VEHICLE0000000000014,3381.0,[#2] #VEHICLE0000000000015,3898.0,[#2] #VEHICLE0000000000016,4838.0
[#3] #VEHICLE0000000000001,4308.0,[#3] #VEHICLE0000000000002,4083.0,[#3] #VEHICLE0000000000003,4619.0,[#3] #VEHICLE0000000000004,4217.0,[#3] #VEHICLE0000000000005,4152.0,[#3] #VEHICLE0000000000006,3224.0,[#3] #VEHICLE0000000000007,3505.0,[#3] #VEHICLE0000000000008,4600.0,[#3] #VEHICLE0000000000009,3868.0,[#3] #VEHICLE0000000000010,3421.0,[#3] #VEHICLE0000000000011,3894.0,[#3] #VEHICLE0000000000012,4878.0,[#3] #VEHICLE0000000000013,5296.0,[#3] #VEHICLE0000000000014,4413.0,[#3] #VEHICLE0000000000015,4105.0,[#3] #VEHICLE0000000000016,4642.0
[#4] #VEHICLE0000000000001,4155.0,[#4] #VEHICLE0000000000002,3899.0,[#4] #VEHICLE0000000000003,3320.0,[#4] #VEHICLE0000000000004,3675.0,[#4] #VEHICLE0000000000005,4432.0,[#4] #VEHICLE0000000000006,3904.0,[#4] #VEHICLE0000000000007,4604.0,[#4] #VEHICLE0000000000008,4312.0,[#4] #VEHICLE0000000000009,3635.0,[#4] #VEHICLE0000000000010,4062.0,[#4] #VEHICLE0000000000011,3825.0,[#4] #VEHICLE0000000000012,4207.0,[#4] #VEHICLE0000000000013,4622.0,[#4] #VEHICLE0000000000014,3073.0,[#4] #VEHICLE0000000000015,3763.0,[#4] #VEHICLE0000000000016,3741.0
[#5] #VEHICLE0000000000001,4063.0,[#5] #VEHICLE0000000000002,3138.0,[#5] #VEHICLE0000000000003,4002.0,[#5] #VEHICLE0000000000004,4514.0,[#5] #VEHICLE0000000000005,3960.0,[#5] #VEHICLE0000000000006,3638.0,[#5] #VEHICLE0000000000007,3332.0,[#5] #VEHICLE0000000000008,4562.0,[#5] #VEHICLE0000000000009,4194.0,[#5] #VEHICLE0000000000010,3770.0,[#5] #VEHICLE0000000000011,2866.0,[#5] #VEHICLE0000000000012,4556.0,[#5] #VEHICLE0000000000013,3853.0,[#5] #VEHICLE0000000000014,2505.0,[#5] #VEHICLE0000000000015,4295.0,[#5] #VEHICLE0000000000016,2511.0
[#6] #VEHICLE0000000000001,4106.0,[#6] #VEHICLE0000000000002,4041.0,[#6] #VEHICLE0000000000003,4529.0,[#6] #VEHICLE0000000000004,4789.0,[#6] #VEHICLE0000000000005,3401.0,[#6] #VEHICLE0000000000006,3454.0,[#6] #VEHICLE0000000000007,5379.0,[#6] #VEHICLE0000000000008,4406.0,[#6] #VEHICLE0000000000009,4867.0,[#6] #VEHICLE0000000000010,4084.0,[#6] #VEHICLE0000000000011,3716.0,[#6] #VEHICLE0000000000012,4316.0,[#6] #VEHICLE0000000000013,5154.0,[#6] #VEHICLE0000000000014,3760.0,[#6] #VEHICLE0000000000015,4117.0,[#6] #VEHICLE0000000000016,3690.0
[#7] #VEHICLE0000000000001,3847.0,[#7] #VEHICLE0000000000002,3779.0,[#7] #VEHICLE0000000000003,3884.0,[#7] #VEHICLE0000000000004,4209.0,[#7] #VEHICLE0000000000005,3861.0,[#7] #VEHICLE0000000000006,2809.0,[#7] #VEHICLE0000000000007,4638.0,[#7] #VEHICLE0000000000008,3826.0,[#7] #VEHICLE0000000000009,3967.0,[#7] #VEHICLE0000000000010,3510.0,[#7] #VEHICLE0000000000011,3384.0,[#7] #VEHICLE0000000000012,3881.0,[#7] #VEHICLE0000000000013,3566.0,[#7] #VEHICLE0000000000014,3842.0,[#7] #VEHICLE0000000000015,4140.0,[#7] #VEHICLE0000000000016,3400.0
[#8] #VEHICLE0000000000001,3433.0,[#8] #VEHICLE0000000000002,2979.0,[#8] #VEHICLE0000000000003,3755.0,[#8] #VEHICLE0000000000004,3656.0,[#8] #VEHICLE0000000000005,2252.0,[#8] #VEHICLE0000000000006,2639.0,[#8] #VEHICLE0000000000007,3485.0,[#8] #VEHICLE0000000000008,4253.0,[#8] #VEHICLE0000000000009,4357.0,[#8] #VEHICLE0000000000010,3795.0,[#8] #VEHICLE0000000000011,2558.0,[#8] #VEHICLE0000000000012,3566.0,[#8] #VEHICLE0000000000013,3654.0,[#8] #VEHICLE0000000000014,2901.0,[#8] #VEHICLE0000000000015,3800.0,[#8] #VEHICLE0000000000016,3084.0
[#9] #VEHICLE0000000000001,3066.0,[#9] #VEHICLE0000000000002,5273.0,[#9] #VEHICLE0000000000003,5027.0,[#9] #VEHICLE0000000000004,4034.0,[#9] #VEHICLE0000000000005,4501.0,[#9] #VEHICLE0000000000006,4568.0,[#9] #VEHICLE0000000000007,4765.0,[#9] #VEHICLE0000000000008,4217.0,[#9] #VEHICLE0000000000009,4644.0,[#9] #VEHICLE0000000000010,4742.0,[#9] #VEHICLE0000000000011,4072.0,[#9] #VEHICLE0000000000012,4647.0,[#9] #VEHICLE0000000000013,4464.0,[#9] #VEHICLE0000000000014,3554.0,[#9] #VEHICLE0000000000015,5232.0,[#9] #VEHICLE0000000000016,3400.0
[#10] #VEHICLE0000000000001,4613.0,[#10] #VEHICLE0000000000002,2933.0,[#10] #VEHICLE0000000000003,2917.0,[#10] #VEHICLE0000000000004,3931.0,[#10] #VEHICLE0000000000005,2346.0,[#10] #VEHICLE0000000000006,2854.0,[#10] #VEHICLE0000000000007,4216.0,[#10] #VEHICLE0000000000008,4030.0,[#10] #VEHICLE0000000000009,3904.0,[#10] #VEHICLE0000000000010,4019.0,[#10] #VEHICLE0000000000011,2987.0,[#10] #VEHICLE0000000000012,4290.0,[#10] #VEHICLE0000000000013,3827.0,[#10] #VEHICLE0000000000014,3817.0,[#10] #VEHICLE0000000000015,3064.0,[#10] #VEHICLE0000000000016,2763.0
