[#11] #VEHICLE0000000000001,4480.0,[#11] #VEHICLE0000000000002,2862.0,[#11] #VEHICLE0000000000003,2612.0,[#11] #VEHICLE0000000000004,3273.0,[#11] #VEHICLE0000000000005,2661.0,[#11] #VEHICLE0000000000006,3366.0,[#11] #VEHICLE0000000000007,3617.0,[#11] #VEHICLE0000000000008,4028.0,[#11] #VEHICLE0000000000009,4478.0,[#11] #VEHICLE0000000000010,3448.0,[#11] #VEHICLE0000000000011,2108.0,[#11] #VEHICLE0000000000012,3118.0,[#11] #VEHICLE0000000000013,4459.0,[#11] #VEHICLE0000000000014,3297.0,[#11] #VEHICLE0000000000015,3455.0,[#11] #VEHICLE0000000000016,2465.0,[#11] #VEHICLE0000000000017,2214.0,[#11] #VEHICLE0000000000018,3518.0
[#12] #VEHICLE0000000000001,2685.0,[#12] #VEHICLE0000000000002,2915.0,[#12] #VEHICLE0000000000003,3799.0,[#12] #VEHICLE0000000000004,3718.0,[#12] #VEHICLE0000000000005,3628.0,[#12] #VEHICLE0000000000006,2471.0,[#12] #VEHICLE0000000000007,3704.0,[#12] #VEHICLE0000000000008,3294.0,[#12] #VEHICLE0000000000009,4086.0,[#12] #VEHICLE0000000000010,1809.0,[#12] #VEHICLE0000000000011,2775.0,[#12] #VEHICLE0000000000012,3476.0,[#12] #VEHICLE0000000000013,3186.0,[#12] #VEHICLE0000000000014,2796.0,[#12] #VEHICLE0000000000015,3984.0,[#12] #VEHICLE0000000000016,3016.0,[#12] #VEHICLE0000000000017,3830.0,[#12] #VEHICLE0000000000018,2865.0
[#13] #VEHICLE0000000000001,3856.0,[#13] #VEHICLE0000000000002,4429.0,[#13] #VEHICLE0000000000003,3857.0,[#13] #VEHICLE0000000000004,2324.0,[#13] #VEHICLE0000000000005,2642.0,[#13] #VEHICLE0000000000006,2982.0,[#13] #VEHICLE0000000000007,4083.0,[#13] #VEHICLE0000000000008,3955.0,[#13] #VEHICLE0000000000009,3270.0,[#13] #VEHICLE0000000000010,2416.0,[#13] #VEHICLE0000000000011,3484.0,[#13] #VEHICLE0000000000012,2305.0,[#13] #VEHICLE0000000000013,3440.0,[#13] #VEHICLE0000000000014,3286.0,[#13] #VEHICLE0000000000015,3703.0,[#13] #VEHICLE0000000000016,1524.0,[#13] #VEHICLE0000000000017,2620.0,[#13] #VEHICLE0000000000018,2649.0
[#14] #VEHICLE0000000000001,3831.0,[#14] #VEHICLE0000000000002,3797.0,[#14] #VEHICLE0000000000003,2962.0,[#14] #VEHICLE0000000000004,3044.0,[#14] #VEHICLE0000000000005,3094.0,[#14] #VEHICLE0000000000006,3383.0,[#14] #VEHICLE0000000000007,4657.0,[#14] #VEHICLE0000000000008,3665.0,[#14] #VEHICLE0000000000009,2573.0,[#14] #VEHICLE0000000000010,2208.0,[#14] #VEHICLE0000000000011,3186.0,[#14] #VEHICLE0000000000012,3176.0,[#14] #VEHICLE0000000000013,3748.0,[#14] #VEHICLE0000000000014,4071.0,[#14] #VEHICLE0000000000015,3964.0,[#14] #VEHICLE0000000000016,3757.0,[#14] #VEHICLE0000000000017,2527.0,[#14] #VEHICLE0000000000018,2281.0
[#15] #VEHICLE0000000000001,3144.0,[#15] #VEHICLE0000000000002,2575.0,[#15] #VEHICLE0000000000003,4472.0,[#15] #VEHICLE0000000000004,2292.0,[#15] #VEHICLE0000000000005,2040.0,[#15] #VEHICLE0000000000006,2352.0,[#15] #VEHICLE0000000000007,4459.0,[#15] #VEHICLE0000000000008,2498.0,[#15] #VEHICLE0000000000009,2865.0,[#15] #VEHICLE0000000000010,3948.0,[#15] #VEHICLE0000000000011,3541.0,[#15] #VEHICLE0000000000012,3682.0,[#15] #VEHICLE0000000000013,4272.0,[#15] #VEHICLE0000000000014,2425.0,[#15] #VEHICLE0000000000015,3792.0,[#15] #VEHICLE0000000000016,2900.0,[#15] #VEHICLE0000000000017,2892.0,[#15] #VEHICLE0000000000018,3443.0
[#16] #VEHICLE0000000000001,3431.0,[#16] #VEHICLE0000000000002,3393.0,[#16] #VEHICLE0000000000003,2627.0,[#16] #VEHICLE0000000000004,4545.0,[#16] #VEHICLE0000000000005,3476.0,[#16] #VEHICLE0000000000006,2809.0,[#16] #VEHICLE0000000000007,3740.0,[#16] #VEHICLE0000000000008,3269.0,[#16] #VEHICLE0000000000009,3238.0,[#16] #VEHICLE0000000000010,3390.0,[#16] #VEHICLE0000000000011,2847.0,[#16] #VEHICLE0000000000012,2352.0,[#16] #VEHICLE0000000000013,2997.0,[#16] #VEHICLE0000000000014,2361.0,[#16] #VEHICLE0000000000015,3797.0,[#16] #VEHICLE0000000000016,3819.0,[#16] #VEHICLE0000000000017,3480.0,[#16] #VEHICLE0000000000018,3005.0
[#17] #VEHICLE0000000000001,4299.0,[#17] #VEHICLE0000000000002,3732.0,[#17] #VEHICLE0000000000003,4029.0,[#17] #VEHICLE0000000000004,3423.0,[#17] #VEHICLE0000000000005,3809.0,[#17] #VEHICLE0000000000006,2881.0,[#17] #VEHICLE0000000000007,3358.0,[#17] #VEHICLE0000000000008,3635.0,[#17] #VEHICLE0000000000009,3831.0,[#17] #VEHICLE0000000000010,2008.0,[#17] #VEHICLE0000000000011,3630.0,[#17] #VEHICLE0000000000012,2646.0,[#17] #VEHICLE0000000000013,3727.0,[#17] #VEHICLE0000000000014,3069.0,[#17] #VEHICLE0000000000015,3632.0,[#17] #VEHICLE0000000000016,1526.0,[#17] #VEHICLE0000000000017,2154.0,[#17] #VEHICLE0000000000018,2472.0
[#18] #VEHICLE0000000000001,2529.0,[#18] #VEHICLE0000000000002,4347.0,[#18] #VEHICLE0000000000003,2416.0,[#18] #VEHICLE0000000000004,3431.0,[#18] #VEHICLE0000000000005,3234.0,[#18] #VEHICLE0000000000006,2528.0,[#18] #VEHICLE0000000000007,3870.0,[#18] #VEHICLE0000000000008,2857.0,[#18] #VEHICLE0000000000009,2897.0,[#18] #VEHICLE0000000000010,3603.0,[#18] #VEHICLE0000000000011,3513.0,[#18] #VEHICLE0000000000012,2782.0,[#18] #VEHICLE0000000000013,4118.0,[#18] #VEHICLE0000000000014,2091.0,[#18] #VEHICLE0000000000015,3975.0,[#18] #VEHICLE0000000000016,2461.0,[#18] #VEHICLE0000000000017,2784.0,[#18] #VEHICLE0000000000018,2906.0
[#19] #VEHICLE0000000000001,4433.0,[#19] #VEHICLE0000000000002,3800.0,[#19] #VEHICLE0000000000003,2940.0,[#19] #VEHICLE0000000000004,2637.0,[#19] #VEHICLE0000000000005,2398.0,[#19] #VEHICLE0000000000006,3347.0,[#19] #VEHICLE0000000000007,3369.0,[#19] #VEHICLE0000000000008,2802.0,[#19] #VEHICLE0000000000009,3320.0,[#19] #VEHICLE0000000000010,2234.0,[#19] #VEHICLE0000000000011,3032.0,[#19] #VEHICLE0000000000012,2857.0,[#19] #VEHICLE0000000000013,4104.0,[#19] #VEHICLE0000000000014,3134.0,[#19] #VEHICLE0000000000015,3161.0,[#19] #VEHICLE0000000000016,2857.0,[#19] #VEHICLE0000000000017,2983.0,[#19] #VEHICLE0000000000018,2596.0
[#20] #VEHICLE0000000000001,4299.0,[#20] #VEHICLE0000000000002,3114.0,[#20] #VEHICLE0000000000003,2601.0,[#20] #VEHICLE0000000000004,3564.0,[#20] #VEHICLE0000000000005,3235.0,[#20] #VEHICLE0000000000006,3218.0,[#20] #VEHICLE0000000000007,4121.0,[#20] #VEHICLE0000000000008,3929.0,[#20] #VEHICLE0000000000009,2953.0,[#20] #VEHICLE0000000000010,2669.0,[#20] #VEHICLE0000000000011,3020.0,[#20] #VEHICLE0000000000012,3957.0,[#20] #VEHICLE0000000000013,2456.0,[#20] #VEHICLE0000000000014,2061.0,[#20] #VEHICLE0000000000015,3504.0,[#20] #VEHICLE0000000000016,2512.0,[#20] #VEHICLE0000000000017,2520.0,[#20] #VEHICLE0000000000018,1893.0
