[#1] #VEHICLE0000000000001,15261.0,[#1] #VEHICLE0000000000002,15615.0,[#1] #VEHICLE0000000000003,15509.0,[#1] #VEHICLE0000000000004,15621.0,[#1] #VEHICLE0000000000005,15380.0
[#2] #VEHICLE0000000000001,15636.0,[#2] #VEHICLE0000000000002,15642.0,[#2] #VEHICLE0000000000003,15631.0,[#2] #VEHICLE0000000000004,15636.0,[#2] #VEHICLE0000000000005,15509.0
[#3] #VEHICLE0000000000001,16243.0,[#3] #VEHICLE0000000000002,16015.0,[#3] #VEHICLE0000000000003,16254.0,[#3] #VEHICLE0000000000004,16475.0,[#3] #VEHICLE0000000000005,16489.0
[#4] #VEHICLE0000000000001,16555.0,[#4] #VEHICLE0000000000002,16564.0,[#4] #VEHICLE0000000000003,16449.0,[#4] #VEHICLE0000000000004,16399.0,[#4] #VEHICLE0000000000005,16563.0
[#5] #VEHICLE0000000000001,16668.0,[#5] #VEHICLE0000000000002,16737.0,[#5] #VEHICLE0000000000003,16181.0,[#5] #VEHICLE0000000000004,15774.0,[#5] #VEHICLE0000000000005,16557.0
[#6] #VEHICLE0000000000001,15527.0,[#6] #VEHICLE0000000000002,14988.0,[#6] #VEHICLE0000000000003,15589.0,[#6] #VEHICLE0000000000004,15616.0,[#6] #VEHICLE0000000000005,15629.0
[#7] #VEHICLE0000000000001,15505.0,[#7] #VEHICLE0000000000002,15212.0,[#7] #VEHICLE0000000000003,15506.0,[#7] #VEHICLE0000000000004,15501.0,[#7] #VEHICLE0000000000005,15497.0
[#8] #VEHICLE0000000000001,15454.0,[#8] #VEHICLE0000000000002,15412.0,[#8] #VEHICLE0000000000003,15430.0,[#8] #VEHICLE0000000000004,15249.0,[#8] #VEHICLE0000000000005,15445.0
[#9] #VEHICLE0000000000001,15178.0,[#9] #VEHICLE0000000000002,15471.0,[#9] #VEHICLE0000000000003,15466.0,[#9] #VEHICLE0000000000004,15375.0,[#9] #VEHICLE0000000000005,15319.0
[#10] #VEHICLE0000000000001,14937.0,[#10] #VEHICLE0000000000002,15431.0,[#10] #VEHICLE0000000000003,15431.0,[#10] #VEHICLE0000000000004,14907.0,[#10] #VEHICLE0000000000005,15288.0
[#11] #VEHICLE0000000000001,15806.0,[#11] #VEHICLE0000000000002,15670.0,[#11] #VEHICLE0000000000003,15809.0,[#11] #VEHICLE0000000000004,15806.0,[#11] #VEHICLE0000000000005,15626.0
[#12] #VEHICLE0000000000001,15591.0,[#12] #VEHICLE0000000000002,15561.0,[#12] #VEHICLE0000000000003,15532.0,[#12] #VEHICLE0000000000004,15590.0,[#12] #VEHICLE0000000000005,15551.0
[#13] #VEHICLE0000000000001,14484.0,[#13] #VEHICLE0000000000002,14399.0,[#13] #VEHICLE0000000000003,14600.0,[#13] #VEHICLE0000000000004,14606.0,[#13] #VEHICLE0000000000005,14609.0
[#14] #VEHICLE0000000000001,15310.0,[#14] #VEHICLE0000000000002,15303.0,[#14] #VEHICLE0000000000003,15297.0,[#14] #VEHICLE0000000000004,15151.0,[#14] #VEHICLE0000000000005,15000.0
