[#1] #VEHICLE0000000000001,26412.0,[#1] #VEHICLE0000000000002,26375.0,[#1] #VEHICLE0000000000003,26290.0
[#2] #VEHICLE0000000000001,26457.0,[#2] #VEHICLE0000000000002,26457.0,[#2] #VEHICLE0000000000003,26448.0
[#3] #VEHICLE0000000000001,25434.0,[#3] #VEHICLE0000000000002,25425.0,[#3] #VEHICLE0000000000003,25430.0
[#4] #VEHICLE0000000000001,24827.0,[#4] #VEHICLE0000000000002,24824.0,[#4] #VEHICLE0000000000003,24828.0
[#5] #VEHICLE0000000000001,25399.0,[#5] #VEHICLE0000000000002,25443.0,[#5] #VEHICLE0000000000003,25440.0
[#6] #VEHICLE0000000000001,26442.0,[#6] #VEHICLE0000000000002,26455.0,[#6] #VEHICLE0000000000003,26442.0
[#7] #VEHICLE0000000000001,25705.0,[#7] #VEHICLE0000000000002,25701.0,[#7] #VEHICLE0000000000003,25692.0
[#8] #VEHICLE0000000000001,25764.0,[#8] #VEHICLE0000000000002,25760.0,[#8] #VEHICLE0000000000003,25760.0
[#9] #VEHICLE0000000000001,26354.0,[#9] #VEHICLE0000000000002,26363.0,[#9] #VEHICLE0000000000003,26350.0
[#10] #VEHICLE0000000000001,24245.0,[#10] #VEHICLE0000000000002,24244.0,[#10] #VEHICLE0000000000003,24158.0
[#11] #VEHICLE0000000000001,26308.0,[#11] #VEHICLE0000000000002,26304.0,[#11] #VEHICLE0000000000003,26083.0
[#12] #VEHICLE0000000000001,25394.0,[#12] #VEHICLE0000000000002,25395.0,[#12] #VEHICLE0000000000003,25386.0
[#13] #VEHICLE0000000000001,24386.0,[#13] #VEHICLE0000000000002,24383.0,[#13] #VEHICLE0000000000003,24374.0
[#14] #VEHICLE0000000000001,26827.0,[#14] #VEHICLE0000000000002,26782.0,[#14] #VEHICLE0000000000003,26820.0
[#15] #VEHICLE0000000000001,26632.0,[#15] #VEHICLE0000000000002,26398.0,[#15] #VEHICLE0000000000003,26633.0
[#16] #VEHICLE0000000000001,24518.0,[#16] #VEHICLE0000000000002,24516.0,[#16] #VEHICLE0000000000003,24502.0
[#17] #VEHICLE0000000000001,25374.0,[#17] #VEHICLE0000000000002,25080.0,[#17] #VEHICLE0000000000003,25378.0
[#18] #VEHICLE0000000000001,23344.0,[#18] #VEHICLE0000000000002,23348.0,[#18] #VEHICLE0000000000003,23341.0
[#19] #VEHICLE0000000000001,23830.0,[#19] #VEHICLE0000000000002,23829.0,[#19] #VEHICLE0000000000003,23836.0
[#20] #VEHICLE0000000000001,24213.0,[#20] #VEHICLE0000000000002,24243.0,[#20] #VEHICLE0000000000003,24238.0
[#21] #VEHICLE0000000000001,24547.0,[#21] #VEHICLE0000000000002,24957.0,[#21] #VEHICLE0000000000003,24779.0
[#22] #VEHICLE0000000000001,26626.0,[#22] #VEHICLE0000000000002,26116.0,[#22] #VEHICLE0000000000003,26117.0
[#23] #VEHICLE0000000000001,24655.0,[#23] #VEHICLE0000000000002,24590.0,[#23] #VEHICLE0000000000003,24692.0
[#24] #VEHICLE0000000000001,26435.0,[#24] #VEHICLE0000000000002,26438.0,[#24] #VEHICLE0000000000003,26424.0
[#25] #VEHICLE0000000000001,24885.0,[#25] #VEHICLE0000000000002,24869.0,[#25] #VEHICLE0000000000003,24880.0
[#26] #VEHICLE0000000000001,25559.0,[#26] #VEHICLE0000000000002,25561.0,[#26] #VEHICLE0000000000003,25351.0
[#27] #VEHICLE0000000000001,26904.0,[#27] #VEHICLE0000000000002,26758.0,[#27] #VEHICLE0000000000003,26906.0
[#28] #VEHICLE0000000000001,25114.0,[#28] #VEHICLE0000000000002,25123.0,[#28] #VEHICLE0000000000003,25122.0
[#29] #VEHICLE0000000000001,25314.0,[#29] #VEHICLE0000000000002,25322.0,[#29] #VEHICLE0000000000003,25322.0
[#30] #VEHICLE0000000000001,23744.0,[#30] #VEHICLE0000000000002,24363.0,[#30] #VEHICLE0000000000003,24360.0
