[#1] #VEHICLE0000000000001,4423.0,[#1] #VEHICLE0000000000002,4845.0,[#1] #VEHICLE0000000000003,5568.0,[#1] #VEHICLE0000000000004,4250.0,[#1] #VEHICLE0000000000005,4609.0,[#1] #VEHICLE0000000000006,4847.0,[#1] #VEHICLE0000000000007,4308.0,[#1] #VEHICLE0000000000008,6049.0,[#1] #VEHICLE0000000000009,4624.0,[#1] #VEHICLE0000000000010,6245.0,[#1] #VEHICLE0000000000011,3902.0,[#1] #VEHICLE0000000000012,5693.0,[#1] #VEHICLE0000000000013,5207.0,[#1] #VEHICLE0000000000014,5960.0
[#2] #VEHICLE0000000000001,5072.0,[#2] #VEHICLE0000000000002,4882.0,[#2] #VEHICLE0000000000003,4643.0,[#2] #VEHICLE0000000000004,5142.0,[#2] #VEHICLE0000000000005,5771.0,[#2] #VEHICLE0000000000006,4473.0,[#2] #VEHICLE0000000000007,5737.0,[#2] #VEHICLE0000000000008,5783.0,[#2] #VEHICLE0000000000009,5810.0,[#2] #VEHICLE0000000000010,5432.0,[#2] #VEHICLE0000000000011,5127.0,[#2] #VEHICLE0000000000012,4353.0,[#2] #VEHICLE0000000000013,5446.0,[#2] #VEHICLE0000000000014,4252.0
[#3] #VEHICLE0000000000001,4780.0,[#3] #VEHICLE0000000000002,4972.0,[#3] #VEHICLE0000000000003,4738.0,[#3] #VEHICLE0000000000004,5254.0,[#3] #VEHICLE0000000000005,5079.0,[#3] #VEHICLE0000000000006,5170.0,[#3] #VEHICLE0000000000007,5115.0,[#3] #VEHICLE0000000000008,5839.0,[#3] #VEHICLE0000000000009,5340.0,[#3] #VEHICLE0000000000010,4607.0,[#3] #VEHICLE0000000000011,4546.0,[#3] #VEHICLE0000000000012,5661.0,[#3] #VEHICLE0000000000013,5901.0,[#3] #VEHICLE0000000000014,5629.0
[#4] #VEHICLE0000000000001,4765.0,[#4] #VEHICLE0000000000002,5650.0,[#4] #VEHICLE0000000000003,5767.0,[#4] #VEHICLE0000000000004,5070.0,[#4] #VEHICLE0000000000005,5525.0,[#4] #VEHICLE0000000000006,3400.0,[#4] #VEHICLE0000000000007,4538.0,[#4] #VEHICLE0000000000008,5626.0,[#4] #VEHICLE0000000000009,4549.0,[#4] #VEHICLE0000000000010,4441.0,[#4] #VEHICLE0000000000011,4858.0,[#4] #VEHICLE0000000000012,4628.0,[#4] #VEHICLE0000000000013,4612.0,[#4] #VEHICLE0000000000014,4659.0
[#5] #VEHICLE0000000000001,5623.0,[#5] #VEHICLE0000000000002,6029.0,[#5] #VEHICLE0000000000003,4821.0,[#5] #VEHICLE0000000000004,5161.0,[#5] #VEHICLE0000000000005,4832.0,[#5] #VEHICLE0000000000006,4577.0,[#5] #VEHICLE0000000000007,4852.0,[#5] #VEHICLE0000000000008,5572.0,[#5] #VEHICLE0000000000009,5266.0,[#5] #VEHICLE0000000000010,6539.0,[#5] #VEHICLE0000000000011,5153.0,[#5] #VEHICLE0000000000012,5194.0,[#5] #VEHICLE0000000000013,5806.0,[#5] #VEHICLE0000000000014,5479.0
[#6] #VEHICLE0000000000001,5111.0,[#6] #VEHICLE0000000000002,5283.0,[#6] #VEHICLE0000000000003,5730.0,[#6] #VEHICLE0000000000004,4297.0,[#6] #VEHICLE0000000000005,5214.0,[#6] #VEHICLE0000000000006,3840.0,[#6] #VEHICLE0000000000007,4963.0,[#6] #VEHICLE0000000000008,5411.0,[#6] #VEHICLE0000000000009,3976.0,[#6] #VEHICLE0000000000010,5004.0,[#6] #VEHICLE0000000000011,3967.0,[#6] #VEHICLE0000000000012,4873.0,[#6] #VEHICLE0000000000013,4761.0,[#6] #VEHICLE0000000000014,5016.0
[#7] #VEHICLE0000000000001,5889.0,[#7] #VEHICLE0000000000002,5637.0,[#7] #VEHICLE0000000000003,6077.0,[#7] #VEHICLE0000000000004,4351.0,[#7] #VEHICLE0000000000005,4969.0,[#7] #VEHICLE0000000000006,5062.0,[#7] #VEHICLE0000000000007,5320.0,[#7] #VEHICLE0000000000008,6342.0,[#7] #VEHICLE0000000000009,6073.0,[#7] #VEHICLE0000000000010,5878.0,[#7] #VEHICLE0000000000011,4260.0,[#7] #VEHICLE0000000000012,5784.0,[#7] #VEHICLE0000000000013,5950.0,[#7] #VEHICLE0000000000014,5207.0
[#8] #VEHICLE0000000000001,4969.0,[#8] #VEHICLE0000000000002,4822.0,[#8] #VEHICLE0000000000003,6198.0,[#8] #VEHICLE0000000000004,5042.0,[#8] #VEHICLE0000000000005,4730.0,[#8] #VEHICLE0000000000006,5196.0,[#8] #VEHICLE0000000000007,6332.0,[#8] #VEHICLE0000000000008,5310.0,[#8] #VEHICLE0000000000009,5921.0,[#8] #VEHICLE0000000000010,5355.0,[#8] #VEHICLE0000000000011,4879.0,[#8] #VEHICLE0000000000012,5151.0,[#8] #VEHICLE0000000000013,5212.0,[#8] #VEHICLE0000000000014,5175.0
[#9] #VEHICLE0000000000001,6030.0,[#9] #VEHICLE0000000000002,4848.0,[#9] #VEHICLE0000000000003,5179.0,[#9] #VEHICLE0000000000004,5256.0,[#9] #VEHICLE0000000000005,5066.0,[#9] #VEHICLE0000000000006,5164.0,[#9] #VEHICLE0000000000007,4733.0,[#9] #VEHICLE0000000000008,5958.0,[#9] #VEHICLE0000000000009,5178.0,[#9] #VEHICLE0000000000010,5487.0,[#9] #VEHICLE0000000000011,5120.0,[#9] #VEHICLE0000000000012,4818.0,[#9] #VEHICLE0000000000013,5522.0,[#9] #VEHICLE0000000000014,5062.0
[#10] #VEHICLE0000000000001,3735.0,[#10] #VEHICLE0000000000002,5032.0,[#10] #VEHICLE0000000000003,5008.0,[#10] #VEHICLE0000000000004,3895.0,[#10] #VEHICLE0000000000005,4899.0,[#10] #VEHICLE0000000000006,4769.0,[#10] #VEHICLE0000000000007,4778.0,[#10] #VEHICLE0000000000008,4432.0,[#10] #VEHICLE0000000000009,3995.0,[#10] #VEHICLE0000000000010,5191.0,[#10] #VEHICLE0000000000011,4214.0,[#10] #VEHICLE0000000000012,3522.0,[#10] #VEHICLE0000000000013,5071.0,[#10] #VEHICLE0000000000014,4921.0
