[#1] #VEHICLE0000000000001,37124.0,[#1] #VEHICLE0000000000002,37133.0
[#2] #VEHICLE0000000000001,39382.0,[#2] #VEHICLE0000000000002,39386.0
[#3] #VEHICLE0000000000001,37366.0,[#3] #VEHICLE0000000000002,37226.0
[#4] #VEHICLE0000000000001,39188.0,[#4] #VEHICLE0000000000002,38992.0
[#5] #VEHICLE0000000000001,38997.0,[#5] #VEHICLE0000000000002,38993.0
[#6] #VEHICLE0000000000001,36565.0,[#6] #VEHICLE0000000000002,36561.0
[#7] #VEHICLE0000000000001,38082.0,[#7] #VEHICLE0000000000002,37828.0
[#8] #VEHICLE0000000000001,37346.0,[#8] #VEHICLE0000000000002,37350.0
[#9] #VEHICLE0000000000001,34193.0,[#9] #VEHICLE0000000000002,34193.0
[#10] #VEHICLE0000000000001,35628.0,[#10] #VEHICLE0000000000002,35630.0
[#11] #VEHICLE0000000000001,37652.0,[#11] #VEHICLE0000000000002,37644.0
[#12] #VEHICLE0000000000001,38715.0,[#12] #VEHICLE0000000000002,38715.0
[#13] #VEHICLE0000000000001,39132.0,[#13] #VEHICLE0000000000002,39151.0
[#14] #VEHICLE0000000000001,36211.0,[#14] #VEHICLE0000000000002,36209.0
[#15] #VEHICLE0000000000001,39321.0,[#15] #VEHICLE0000000000002,39321.0
[#16] #VEHICLE0000000000001,38148.0,[#16] #VEHICLE0000000000002,37916.0
[#17] #VEHICLE0000000000001,37686.0,[#17] #VEHICLE0000000000002,37518.0
[#18] #VEHICLE0000000000001,36620.0,[#18] #VEHICLE0000000000002,36634.0
[#19] #VEHICLE0000000000001,37757.0,[#19] #VEHICLE0000000000002,37757.0
[#20] #VEHICLE0000000000001,34944.0,[#20] #VEHICLE0000000000002,34944.0
[#21] #VEHICLE0000000000001,37316.0,[#21] #VEHICLE0000000000002,37299.0
[#22] #VEHICLE0000000000001,34354.0,[#22] #VEHICLE0000000000002,34345.0
[#23] #VEHICLE0000000000001,36326.0,[#23] #VEHICLE0000000000002,36321.0
[#24] #VEHICLE0000000000001,37606.0,[#24] #VEHICLE0000000000002,37606.0
[#25] #VEHICLE0000000000001,37308.0,[#25] #VEHICLE0000000000002,37316.0
[#26] #VEHICLE0000000000001,36996.0,[#26] #VEHICLE0000000000002,37011.0
[#27] #VEHICLE0000000000001,36857.0,[#27] #VEHICLE0000000000002,36853.0
[#28] #VEHICLE0000000000001,36560.0,[#28] #VEHICLE0000000000002,36569.0
[#29] #VEHICLE0000000000001,37464.0,[#29] #VEHICLE0000000000002,37463.0
[#30] #VEHICLE0000000000001,36761.0,[#30] #VEHICLE0000000000002,36763.0
