19.0,VEHICLE0000000000004,posX,140.0,posY,42.0,status,MOVE
19.0,VEHICLE0000000000005,posX,130.0,posY,43.0,status,MOVE
19.0,VEHICLE0000000000008,posX,108.0,posY,18.0,status,MOVE
19.0,VEHICLE0000000000009,posX,109.0,posY,42.0,status,MOVE
19.0,VEHICLE0000000000010,posX,116.0,posY,43.0,status,MOVE
20.0,VEHICLE0000000000001,posX,131.0,posY,25.0,status,LIFT_DOWN
20.0,VEHICLE0000000000002,posX,141.0,posY,19.0,status,MOVE
20.0,VEHICLE0000000000003,posX,149.0,posY,32.0,status,MOVE
20.0,VEHICLE0000000000004,posX,141.0,posY,42.0,status,MOVE
20.0,VEHICLE0000000000005,posX,131.0,posY,43.0,status,MOVE
20.0,VEHICLE0000000000008,posX,108.0,posY,19.0,status,MOVE
20.0,VEHICLE0000000000009,posX,109.0,posY,43.0,status,MOVE
20.0,VEHICLE0000000000010,posX,117.0,posY,43.0,status,MOVE
21.0,VEHICLE0000000000001,posX,131.0,posY,25.0,status,LOAD
21.0,VEHICLE0000000000002,posX,141.0,posY,18.0,status,MOVE
21.0,VEHICLE0000000000003,posX,149.0,posY,31.0,status,MOVE
21.0,VEHICLE0000000000004,posX,141.0,posY,41.0,status,MOVE
21.0,VEHICLE0000000000005,posX,132.0,posY,43.0,status,MOVE
21.0,VEHICLE0000000000008,posX,108.0,posY,20.0,status,MOVE
21.0,VEHICLE0000000000009,posX,110.0,posY,43.0,status,MOVE
21.0,VEHICLE0000000000010,posX,118.0,posY,43.0,status,MOVE
22.0,VEHICLE0000000000001,posX,131.0,posY,25.0,status,LIFT_UP
22.0,VEHICLE0000000000002,posX,141.0,posY,17.0,status,MOVE
22.0,VEHICLE0000000000003,posX,149.0,posY,30.0,status,MOVE
22.0,VEHICLE0000000000004,posX,141.0,posY,40.0,status,MOVE
22.0,VEHICLE0000000000005,posX,133.0,posY,43.0,status,MOVE
22.0,VEHICLE0000000000008,posX,108.0,posY,21.0,status,MOVE
22.0,VEHICLE0000000000009,posX,111.0,posY,43.0,status,MOVE
22.0,VEHICLE0000000000010,posX,119.0,posY,43.0,status,MOVE
23.0,VEHICLE0000000000001,posX,131.0,posY,24.0,status,MOVE
23.0,VEHICLE0000000000002,posX,141.0,posY,16.0,status,MOVE
23.0,VEHICLE0000000000003,posX,149.0,posY,29.0,status,MOVE
23.0,VEHICLE0000000000004,posX,141.0,posY,39.0,status,MOVE
23.0,VEHICLE0000000000005,posX,134.0,posY,43.0,status,MOVE
23.0,VEHICLE0000000000008,posX,108.0,posY,22.0,status,MOVE
23.0,VEHICLE0000000000009,posX,112.0,posY,43.0,status,MOVE
23.0,VEHICLE0000000000010,posX,120.0,posY,43.0,status,MOVE
24.0,VEHICLE0000000000001,posX,131.0,posY,23.0,status,MOVE
24.0,VEHICLE0000000000002,posX,141.0,posY,15.0,status,MOVE
24.0,VEHICLE0000000000003,posX,149.0,posY,28.0,status,MOVE
24.0,VEHICLE0000000000004,posX,141.0,posY,38.0,status,MOVE
24.0,VEHICLE0000000000005,posX,135.0,posY,43.0,status,MOVE
24.0,VEHICLE0000000000008,posX,108.0,posY,23.0,status,MOVE
24.0,VEHICLE0000000000009,posX,113.0,posY,43.0,status,MOVE
24.0,VEHICLE0000000000010,posX,121.0,posY,43.0,status,MOVE
25.0,VEHICLE0000000000001,posX,131.0,posY,22.0,status,MOVE
25.0,VEHICLE0000000000002,posX,141.0,posY,14.0,status,MOVE
25.0,VEHICLE0000000000003,posX,148.0,posY,28.0,status,MOVE
25.0,VEHICLE0000000000004,posX,141.0,posY,37.0,status,MOVE
25.0,VEHICLE0000000000005,posX,136.0,posY,43.0,status,MOVE
25.0,VEHICLE0000000000008,posX,108.0,posY,24.0,status,MOVE
25.0,VEHICLE0000000000009,posX,114.0,posY,43.0,status,MOVE
25.0,VEHICLE0000000000010,posX,122.0,posY,43.0,status,MOVE
26.0,VEHICLE0000000000001,posX,131.0,posY,21.0,status,MOVE
26.0,VEHICLE0000000000002,posX,141.0,posY,13.0,status,MOVE
26.0,VEHICLE0000000000003,posX,147.0,posY,28.0,status,MOVE
26.0,VEHICLE0000000000004,posX,141.0,posY,36.0,status,MOVE
26.0,VEHICLE0000000000005,posX,137.0,posY,43.0,status,MOVE
26.0,VEHICLE0000000000008,posX,108.0,posY,25.0,status,MOVE
26.0,VEHICLE0000000000009,posX,115.0,posY,43.0,status,MOVE
26.0,VEHICLE0000000000010,posX,123.0,posY,43.0,status,MOVE
27.0,VEHICLE0000000000001,posX,131.0,posY,20.0,status,MOVE
27.0,VEHICLE0000000000002,posX,141.0,posY,12.0,status,MOVE
27.0,VEHICLE0000000000003,posX,146.0,posY,28.0,status,MOVE
27.0,VEHICLE0000000000004,posX,140.0,posY,36.0,status,MOVE
27.0,VEHICLE0000000000005,posX,138.0,posY,43.0,status,MOVE
27.0,VEHICLE0000000000008,posX,108.0,posY,26.0,status,MOVE
27.0,VEHICLE0000000000009,posX,116.0,posY,43.0,status,MOVE
27.0,VEHICLE0000000000010,posX,124.0,posY,43.0,status,MOVE
28.0,VEHICLE0000000000001,posX,131.0,posY,19.0,status,MOVE
28.0,VEHICLE0000000000002,posX,141.0,posY,11.0,status,MOVE
28.0,VEHICLE0000000000003,posX,145.0,posY,28.0,status,MOVE
28.0,VEHICLE0000000000004,posX,140.0,posY,35.0,status,MOVE
28.0,VEHICLE0000000000005,posX,139.0,posY,43.0,status,MOVE
28.0,VEHICLE0000000000008,posX,108.0,posY,27.0,status,MOVE
28.0,VEHICLE0000000000009,posX,117.0,posY,43.0,status,MOVE
28.0,VEHICLE0000000000010,posX,125.0,posY,43.0,status,MOVE
