[#1] Job #10,285.5,[#1] Job #11,310.7142857142857,[#1] Job #12,68.0,[#1] Job #13,83.83333333333333,[#1] Job #14,292.0,[#1] Job #15,94.83333333333333,[#1] Job #16,374.85714285714283,[#1] Job #17,485.5,[#1] Job #18,141.16666666666666,[#1] Job #19,285.0,[#1] Job #20,404.0
[#2] Job #10,90.57142857142857,[#2] Job #11,69.14285714285714,[#2] Job #12,322.375,[#2] Job #13,217.5,[#2] Job #14,261.8888888888889,[#2] Job #15,88.875,[#2] Job #16,198.0,[#2] Job #17,109.55555555555556,[#2] Job #18,221.66666666666666,[#2] Job #19,197.14285714285714,[#2] Job #20,319.625
[#3] Job #10,321.0,[#3] Job #11,323.625,[#3] Job #12,329.85714285714283,[#3] Job #13,458.0,[#3] Job #14,135.83333333333334,[#3] Job #15,167.25,[#3] Job #16,315.6666666666667,[#3] Job #17,198.8,[#3] Job #18,211.5,[#3] Job #19,324.25,[#3] Job #20,291.375
[#4] Job #10,95.42857142857143,[#4] Job #11,224.75,[#4] Job #12,282.5,[#4] Job #13,159.42857142857142,[#4] Job #14,193.0,[#4] Job #15,374.85714285714283,[#4] Job #16,184.25,[#4] Job #17,199.42857142857142,[#4] Job #18,257.0,[#4] Job #19,283.55555555555554,[#4] Job #20,218.375
[#5] Job #10,200.77777777777777,[#5] Job #11,232.33333333333334,[#5] Job #12,256.2857142857143,[#5] Job #13,273.75,[#5] Job #14,259.875,[#5] Job #15,293.3333333333333,[#5] Job #16,257.8888888888889,[#5] Job #17,202.375,[#5] Job #18,223.375,[#5] Job #19,295.625,[#5] Job #20,344.125
[#6] Job #10,328.625,[#6] Job #11,193.71428571428572,[#6] Job #12,331.0,[#6] Job #13,378.85714285714283,[#6] Job #14,177.88888888888889,[#6] Job #15,291.6666666666667,[#6] Job #16,332.375,[#6] Job #17,423.0,[#6] Job #18,338.14285714285717,[#6] Job #19,236.875,[#6] Job #20,236.88888888888889
[#7] Job #10,220.28571428571428,[#7] Job #11,245.44444444444446,[#7] Job #12,111.375,[#7] Job #13,246.66666666666666,[#7] Job #14,249.85714285714286,[#7] Job #15,285.77777777777777,[#7] Job #16,282.75,[#7] Job #17,313.75,[#7] Job #18,283.1111111111111,[#7] Job #19,263.85714285714283,[#7] Job #20,175.66666666666666
[#8] Job #10,341.22222222222223,[#8] Job #11,290.7142857142857,[#8] Job #12,192.55555555555554,[#8] Job #13,363.4,[#8] Job #14,223.88888888888889,[#8] Job #15,221.5,[#8] Job #16,308.625,[#8] Job #17,418.0,[#8] Job #18,384.125,[#8] Job #19,333.625,[#8] Job #20,354.0
[#9] Job #10,220.0,[#9] Job #11,307.125,[#9] Job #12,114.71428571428571,[#9] Job #13,136.83333333333334,[#9] Job #14,200.42857142857142,[#9] Job #15,346.8333333333333,[#9] Job #16,343.6666666666667,[#9] Job #17,319.2857142857143,[#9] Job #18,273.8888888888889,[#9] Job #19,326.2857142857143,[#9] Job #20,302.1111111111111
[#10] Job #10,139.125,[#10] Job #11,166.5,[#10] Job #12,231.57142857142858,[#10] Job #13,268.875,[#10] Job #14,304.0,[#10] Job #15,356.57142857142856,[#10] Job #16,219.28571428571428,[#10] Job #17,284.125,[#10] Job #18,267.1111111111111,[#10] Job #19,288.6666666666667,[#10] Job #20,230.42857142857142
[#11] Job #10,218.125,[#11] Job #11,293.5,[#11] Job #12,387.6,[#11] Job #13,250.125,[#11] Job #14,181.71428571428572,[#11] Job #15,151.66666666666666,[#11] Job #16,339.0,[#11] Job #17,300.8333333333333,[#11] Job #18,261.9,[#11] Job #19,401.14285714285717,[#11] Job #20,224.0
[#12] Job #10,156.0,[#12] Job #11,271.4,[#12] Job #12,577.1666666666666,[#12] Job #13,419.375,[#12] Job #14,200.85714285714286,[#12] Job #15,406.1111111111111,[#12] Job #16,237.0,[#12] Job #17,324.1,[#12] Job #18,462.25,[#12] Job #19,276.2857142857143,[#12] Job #20,383.77777777777777
[#13] Job #10,227.66666666666666,[#13] Job #11,88.5,[#13] Job #12,225.0,[#13] Job #13,311.5,[#13] Job #14,195.33333333333334,[#13] Job #15,242.66666666666666,[#13] Job #16,153.25,[#13] Job #17,370.25,[#13] Job #18,250.28571428571428,[#13] Job #19,446.5,[#13] Job #20,323.25
[#14] Job #10,227.5,[#14] Job #11,280.0,[#14] Job #12,159.33333333333334,[#14] Job #13,273.0,[#14] Job #14,152.5,[#14] Job #15,330.875,[#14] Job #16,392.85714285714283,[#14] Job #17,339.375,[#14] Job #18,185.0,[#14] Job #19,250.57142857142858,[#14] Job #20,190.14285714285714
[#15] Job #10,181.875,[#15] Job #11,82.83333333333333,[#15] Job #12,66.25,[#15] Job #13,171.57142857142858,[#15] Job #14,225.3,[#15] Job #15,218.66666666666666,[#15] Job #16,249.1,[#15] Job #17,328.7142857142857,[#15] Job #18,321.25,[#15] Job #19,133.5,[#15] Job #20,302.25
[#16] Job #10,306.0,[#16] Job #11,268.55555555555554,[#16] Job #12,257.2857142857143,[#16] Job #13,260.5,[#16] Job #14,202.625,[#16] Job #15,424.14285714285717,[#16] Job #16,242.33333333333334,[#16] Job #17,364.2857142857143,[#16] Job #18,357.4,[#16] Job #19,319.8888888888889,[#16] Job #20,220.14285714285714
[#17] Job #10,311.2857142857143,[#17] Job #11,295.0,[#17] Job #12,208.42857142857142,[#17] Job #13,269.42857142857144,[#17] Job #14,272.3333333333333,[#17] Job #15,274.77777777777777,[#17] Job #16,386.2,[#17] Job #17,424.8333333333333,[#17] Job #18,183.0,[#17] Job #19,305.3333333333333,[#17] Job #20,363.14285714285717
[#18] Job #10,235.28571428571428,[#18] Job #11,204.14285714285714,[#18] Job #12,300.0,[#18] Job #13,318.57142857142856,[#18] Job #14,215.33333333333334,[#18] Job #15,236.22222222222223,[#18] Job #16,129.42857142857142,[#18] Job #17,311.6,[#18] Job #18,238.42857142857142,[#18] Job #19,372.7142857142857,[#18] Job #20,409.0
